month,day_group,ridership
1,total,134727814.0
1,weekday,115196516.0
1,weekend,19531298.0
2,total,128487909.04
2,weekday,107683067.21
2,weekend,20804841.78
3,total,146903871.24
3,weekday,122101888.22
3,weekend,24801983.14
4,total,143961426.52
4,weekday,118246802.92
4,weekend,25714623.7
5,total,152174508.87
5,weekday,129971977.17
5,weekend,22202531.82
6,total,145025940.0
6,weekday,118748452.99
6,weekend,26277486.97
7,total,138375204.09
7,weekday,114247453.99
7,weekend,24127750.16
8,total,139711161.16
8,weekday,117449637.12
8,weekend,22261524.04
9,total,141791943.97
9,weekday,115288665.0
9,weekend,26503278.96
10,total,155641139.87
10,weekday,132036662.36
10,weekend,23604477.56
11,total,143321716.51
11,weekday,119713023.51
11,weekend,23608693.11
12,total,139357580.86
12,weekday,111693927.99
12,weekend,27663652.89
