puma,month,day_group,ridership
4103,1,total,2605294.0
4103,1,weekday,2184321.0
4103,1,weekend,420973.0
4104,1,total,4201831.0
4104,1,weekday,3515677.0
4104,1,weekend,686154.0
4107,1,total,7318455.5
4107,1,weekday,6064110.0
4107,1,weekend,1254345.5
4108,1,total,6121119.0
4108,1,weekday,5268063.0
4108,1,weekend,853056.0
4109,1,total,2585185.0
4109,1,weekday,2136253.5
4109,1,weekend,448931.5
4110,1,total,1809144.5
4110,1,weekday,1530812.5
4110,1,weekend,278332.0
4111,1,total,2179955.5
4111,1,weekday,1843302.0
4111,1,weekend,336653.5
4112,1,total,3199584.5
4112,1,weekday,2663763.0
4112,1,weekend,535821.5
4121,1,total,14623795.5
4121,1,weekday,12710302.0
4121,1,weekend,1913493.5
4165,1,total,29926625.0
4165,1,weekday,26074283.0
4165,1,weekend,3852342.0
4204,1,total,1413397.0
4204,1,weekday,1199497.0
4204,1,weekend,213900.0
4205,1,total,1308794.0
4205,1,weekday,1099879.0
4205,1,weekend,208915.0
4207,1,total,1447625.0
4207,1,weekday,1227597.0
4207,1,weekend,220028.0
4208,1,total,631205.5
4208,1,weekday,536449.0
4208,1,weekend,94756.5
4209,1,total,824511.0
4209,1,weekday,696755.0
4209,1,weekend,127756.0
4210,1,total,697050.5
4210,1,weekday,607115.0
4210,1,weekend,89935.5
4211,1,total,586619.5
4211,1,weekday,519283.5
4211,1,weekend,67336.0
4212,1,total,957164.5
4212,1,weekday,829451.5
4212,1,weekend,127713.0
4221,1,total,2547376.5
4221,1,weekday,2185498.0
4221,1,weekend,361878.5
4263,1,total,703327.5
4263,1,weekday,595749.0
4263,1,weekend,107578.5
4301,1,total,3109525.0
4301,1,weekday,2552936.0
4301,1,weekend,556589.0
4302,1,total,4712201.0
4302,1,weekday,4092281.5
4302,1,weekend,619919.5
4303,1,total,2076201.0
4303,1,weekday,1745764.5
4303,1,weekend,330436.5
4304,1,total,1959656.5
4304,1,weekday,1631337.5
4304,1,weekend,328319.0
4305,1,total,1536192.0
4305,1,weekday,1309476.0
4305,1,weekend,226716.0
4306,1,total,2785687.0
4306,1,weekday,2354554.0
4306,1,weekend,431133.0
4307,1,total,1903665.5
4307,1,weekday,1592707.5
4307,1,weekend,310958.0
4308,1,total,307794.5
4308,1,weekday,259104.5
4308,1,weekend,48690.0
4309,1,total,2071651.5
4309,1,weekday,1750511.5
4309,1,weekend,321140.0
4310,1,total,741866.0
4310,1,weekday,647582.0
4310,1,weekend,94284.0
4311,1,total,1572110.5
4311,1,weekday,1317265.0
4311,1,weekend,254845.5
4312,1,total,962407.5
4312,1,weekday,823797.0
4312,1,weekend,138610.5
4313,1,total,869966.0
4313,1,weekday,741104.0
4313,1,weekend,128862.0
4314,1,total,1874607.5
4314,1,weekday,1612355.5
4314,1,weekend,262252.0
4315,1,total,1316991.0
4315,1,weekday,1137436.5
4315,1,weekend,179554.5
4316,1,total,1369944.0
4316,1,weekday,1156288.5
4316,1,weekend,213655.5
4317,1,total,504148.0
4317,1,weekday,448993.5
4317,1,weekend,55154.5
4318,1,total,285726.5
4318,1,weekday,248571.5
4318,1,weekend,37155.0
4401,1,total,2836295.5
4401,1,weekday,2425281.0
4401,1,weekend,411014.5
4402,1,total,3219853.5
4402,1,weekday,2811202.0
4402,1,weekend,408651.5
4403,1,total,1077050.5
4403,1,weekday,880966.5
4403,1,weekend,196084.0
4404,1,total,4419638.0
4404,1,weekday,3665981.0
4404,1,weekend,753657.0
4405,1,total,493418.5
4405,1,weekday,441201.5
4405,1,weekend,52217.0
4406,1,total,1371323.0
4406,1,weekday,1185599.5
4406,1,weekend,185723.5
4407,1,total,1428687.5
4407,1,weekday,1184598.5
4407,1,weekend,244089.0
4409,1,total,695483.5
4409,1,weekday,608972.0
4409,1,weekend,86511.5
4410,1,total,724631.0
4410,1,weekday,618347.5
4410,1,weekend,106283.5
4412,1,total,2400466.5
4412,1,weekday,2107043.0
4412,1,weekend,293423.5
4414,1,total,412565.0
4414,1,weekday,357096.0
4414,1,weekend,55469.0
4103,2,total,2420829.99
4103,2,weekday,1993902.0
4103,2,weekend,426928.0
4104,2,total,3996016.68
4104,2,weekday,3272381.0
4104,2,weekend,723635.66
4107,2,total,6928443.0
4107,2,weekday,5663346.83
4107,2,weekend,1265096.17
4108,2,total,5828655.01
4108,2,weekday,4920539.66
4108,2,weekend,908115.33
4109,2,total,2603730.66
4109,2,weekday,2144290.68
4109,2,weekend,459439.99
4110,2,total,1810253.33
4110,2,weekday,1469727.5
4110,2,weekend,340525.83
4111,2,total,2057877.67
4111,2,weekday,1701987.33
4111,2,weekend,355890.33
4112,2,total,3021785.49
4112,2,weekday,2483453.51
4112,2,weekend,538331.99
4121,2,total,14126983.33
4121,2,weekday,11987612.99
4121,2,weekend,2139370.33
4165,2,total,28133632.52
4165,2,weekday,24039218.32
4165,2,weekend,4094414.17
4204,2,total,1433061.17
4204,2,weekday,1191040.5
4204,2,weekend,242020.67
4205,2,total,1299488.83
4205,2,weekday,1069844.0
4205,2,weekend,229644.82
4207,2,total,1418065.33
4207,2,weekday,1179714.01
4207,2,weekend,238351.33
4208,2,total,598056.0
4208,2,weekday,517300.51
4208,2,weekend,80755.5
4209,2,total,784903.34
4209,2,weekday,648857.34
4209,2,weekend,136046.01
4210,2,total,656102.66
4210,2,weekday,564125.33
4210,2,weekend,91977.33
4211,2,total,576945.0
4211,2,weekday,494517.34
