complex_id,month,day_group,ridership
1,1,total,398590.5
1,1,weekday,339663.0
1,1,weekend,58927.5
2,1,total,437064.0
2,1,weekday,367216.0
2,1,weekend,69848.0
3,1,total,398143.0
3,1,weekday,344849.0
3,1,weekend,53294.0
4,1,total,52367.0
4,1,weekday,43158.0
4,1,weekend,9209.0
5,1,total,231519.0
5,1,weekday,201777.0
5,1,weekend,29742.0
6,1,total,0.0
6,1,weekday,0.0
6,1,weekend,0.0
8,1,total,389699.5
8,1,weekday,330181.5
8,1,weekend,59518.0
9,1,total,922578.5
9,1,weekday,765596.5
9,1,weekend,156982.0
10,1,total,644970.5
10,1,weekday,529035.5
10,1,weekend,115935.0
13,1,total,339567.0
13,1,weekday,288965.5
13,1,weekend,50601.5
14,1,total,598023.5
14,1,weekday,506633.5
14,1,weekend,91390.0
16,1,total,415083.0
16,1,weekday,336766.5
16,1,weekend,78316.5
17,1,total,377922.0
17,1,weekday,286550.5
17,1,weekend,91371.5
20,1,total,152132.5
20,1,weekday,138448.0
20,1,weekend,13684.5
22,1,total,165994.5
22,1,weekday,146799.5
22,1,weekend,19195.0
26,1,total,547156.0
26,1,weekday,466102.5
26,1,weekend,81053.5
28,1,total,181783.0
28,1,weekday,154250.0
28,1,weekend,27533.0
30,1,total,140002.5
30,1,weekday,122147.0
30,1,weekend,17855.5
31,1,total,94961.0
31,1,weekday,81431.0
31,1,weekend,13530.0
32,1,total,350188.0
32,1,weekday,292234.5
32,1,weekend,57953.5
33,1,total,189151.0
33,1,weekday,159975.0
33,1,weekend,29176.0
34,1,total,203420.5
34,1,weekday,170899.0
34,1,weekend,32521.5
35,1,total,320106.5
35,1,weekday,261963.5
35,1,weekend,58143.0
36,1,total,181800.5
36,1,weekday,157050.0
36,1,weekend,24750.5
37,1,total,138161.0
37,1,weekday,121927.5
37,1,weekend,16233.5
38,1,total,278282.0
38,1,weekday,241927.0
38,1,weekend,36355.0
39,1,total,143622.5
39,1,weekday,126677.5
39,1,weekend,16945.0
41,1,total,262354.5
41,1,weekday,220525.5
41,1,weekend,41829.0
42,1,total,253237.0
42,1,weekday,208403.0
42,1,weekend,44834.0
43,1,total,162685.0
43,1,weekday,129018.0
43,1,weekend,33667.0
44,1,total,417580.0
44,1,weekday,349199.5
44,1,weekend,68380.5
45,1,total,86003.5
45,1,weekday,71005.0
45,1,weekend,14998.5
46,1,total,164405.0
46,1,weekday,134900.0
46,1,weekend,29505.0
47,1,total,265142.0
47,1,weekday,224324.5
47,1,weekend,40817.5
48,1,total,78508.0
48,1,weekday,66770.5
48,1,weekend,11737.5
49,1,total,153642.0
49,1,weekday,129749.5
49,1,weekend,23892.5
50,1,total,149511.5
50,1,weekday,130006.5
50,1,weekend,19505.0
51,1,total,482208.0
51,1,weekday,419645.5
51,1,weekend,62562.5
52,1,total,188471.5
52,1,weekday,156083.0
52,1,weekend,32388.5
53,1,total,111625.0
53,1,weekday,94554.0
53,1,weekend,17071.0
54,1,total,339663.0
54,1,weekday,296919.0
54,1,weekend,42744.0
55,1,total,285515.0
55,1,weekday,244031.0
55,1,weekend,41484.0
56,1,total,78986.5
56,1,weekday,66778.0
56,1,weekend,12208.5
57,1,total,49177.5
57,1,weekday,43302.5
57,1,weekend,5875.0
58,1,total,284739.5
58,1,weekday,236018.5
58,1,weekend,48721.0
59,1,total,137235.0
59,1,weekday,114350.0
59,1,weekend,22885.0
60,1,total,101289.0
60,1,weekday,87447.5
60,1,weekend,13841.5
61,1,total,80636.0
61,1,weekday,69766.5
61,1,weekend,10869.5
62,1,total,55025.0
62,1,weekday,48360.5
62,1,weekend,6664.5
64,1,total,142079.0
64,1,weekday,119208.0
64,1,weekend,22871.0
65,1,total,157775.5
65,1,weekday,133724.5
65,1,weekend,24051.0
66,1,total,157083.0
66,1,weekday,131849.0
66,1,weekend,25234.0
67,1,total,125948.5
67,1,weekday,105598.0
67,1,weekend,20350.5
68,1,total,199601.5
68,1,weekday,165352.5
68,1,weekend,34249.0
69,1,total,128984.5
69,1,weekday,111560.0
69,1,weekend,17424.5
70,1,total,67493.0
70,1,weekday,58236.5
70,1,weekend,9256.5
71,1,total,296815.5
71,1,weekday,237700.0
71,1,weekend,59115.5
72,1,total,91064.0
72,1,weekday,77983.5
72,1,weekend,13080.5
74,1,total,86406.5
74,1,weekday,71217.5
74,1,weekend,15189.0
75,1,total,84546.5
75,1,weekday,71319.5
75,1,weekend,13227.0
76,1,total,190823.0
76,1,weekday,157921.5
76,1,weekend,32901.5
77,1,total,96190.0
77,1,weekday,79773.0
77,1,weekend,16417.0
78,1,total,72888.0
78,1,weekday,59686.0
78,1,weekend,13202.0
79,1,total,51806.0
79,1,weekday,43392.5
79,1,weekend,8413.5
80,1,total,48842.0
80,1,weekday,42340.0
80,1,weekend,6502.0
81,1,total,69426.0
81,1,weekday,61889.0
81,1,weekend,7537.0
82,1,total,47926.5
82,1,weekday,42251.5
82,1,weekend,5675.0
83,1,total,115152.0
83,1,weekday,100308.5
83,1,weekend,14843.5
84,1,total,89295.5
84,1,weekday,77899.5
84,1,weekend,11396.0
85,1,total,84941.5
85,1,weekday,74264.5
85,1,weekend,10677.0
86,1,total,35564.0
86,1,weekday,31748.5
86,1,weekend,3815.5
87,1,total,116532.5
87,1,weekday,96060.0
87,1,weekend,20472.5
88,1,total,80528.5
88,1,weekday,68190.0
88,1,weekend,12338.5
89,1,total,75190.0
89,1,weekday,64023.5
89,1,weekend,11166.5
90,1,total,67455.0
90,1,weekday,56766.5
90,1,weekend,10688.5
91,1,total,55457.0
91,1,weekday,47134.5
91,1,weekend,8322.5
93,1,total,84963.5
93,1,weekday,71979.0
93,1,weekend,12984.5
94,1,total,163681.0
94,1,weekday,138090.5
94,1,weekend,25590.5
95,1,total,180426.5
95,1,weekday,154419.0
95,1,weekend,26007.5
96,1,total,150722.0
96,1,weekday,128445.0
96,1,weekend,22277.0
97,1,total,317585.5
97,1,weekday,270667.0
97,1,weekend,46918.5
98,1,total,182350.0
98,1,weekday,168077.0
98,1,weekend,14273.0
99,1,total,107205.0
99,1,weekday,98396.0
99,1,weekend,8809.0
100,1,total,60784.0
100,1,weekday,57062.5
100,1,weekend,3721.5
101,1,total,308085.0
101,1,weekday,277387.5
101,1,weekend,30697.5
103,1,total,85780.0
103,1,weekday,70458.0
103,1,weekend,15322.0
107,1,total,155364.0
107,1,weekday,149250.5
107,1,weekend,6113.5
108,1,total,72331.0
108,1,weekday,67563.5
108,1,weekend,4767.5
109,1,total,104514.5
109,1,weekday,98263.5
109,1,weekend,6251.0
110,1,total,66702.5
110,1,weekday,63302.5
110,1,weekend,3400.0
111,1,total,34707.0
111,1,weekday,33639.0
