puma,year,month,period,day_group,ridership,baseline,baseline_comparison,omny_pct
4103,2020,1,2020-01-01,total,2754983.0,2605294.0,1.0575,0.0
4103,2020,1,2020-01-01,weekday,2250825.0,2184321.0,1.0304,0.0
4103,2020,1,2020-01-01,weekend,504158.0,420973.0,1.1976,0.0
4104,2020,1,2020-01-01,total,4491540.0,4201831.0,1.0689,1.64
4104,2020,1,2020-01-01,weekday,3809953.0,3515677.0,1.0837,1.58
4104,2020,1,2020-01-01,weekend,681587.0,686154.0,0.9933,2.01
4107,2020,1,2020-01-01,total,7446458.0,7318455.5,1.0175,2.45
4107,2020,1,2020-01-01,weekday,6176212.0,6064110.0,1.0185,2.29
4107,2020,1,2020-01-01,weekend,1270246.0,1254345.5,1.0127,3.22
4108,2020,1,2020-01-01,total,6323630.0,6121119.0,1.0331,1.92
4108,2020,1,2020-01-01,weekday,5437489.0,5268063.0,1.0322,1.85
4108,2020,1,2020-01-01,weekend,886141.0,853056.0,1.0388,2.35
4109,2020,1,2020-01-01,total,2649160.0,2585185.0,1.0247,1.86
4109,2020,1,2020-01-01,weekday,2198571.0,2136253.5,1.0292,1.8
4109,2020,1,2020-01-01,weekend,450589.0,448931.5,1.0037,2.15
4110,2020,1,2020-01-01,total,1877820.0,1809144.5,1.038,0.38
4110,2020,1,2020-01-01,weekday,1559736.0,1530812.5,1.0189,0.36
4110,2020,1,2020-01-01,weekend,318084.0,278332.0,1.1428,0.46
4111,2020,1,2020-01-01,total,2195947.0,2179955.5,1.0073,1.38
4111,2020,1,2020-01-01,weekday,1872518.0,1843302.0,1.0158,1.34
4111,2020,1,2020-01-01,weekend,323429.0,336653.5,0.9607,1.61
4112,2020,1,2020-01-01,total,3065432.0,3199584.5,0.9581,1.1
4112,2020,1,2020-01-01,weekday,2595640.0,2663763.0,0.9744,1.09
4112,2020,1,2020-01-01,weekend,469792.0,535821.5,0.8768,1.12
4121,2020,1,2020-01-01,total,15267060.0,14623795.5,1.044,3.15
4121,2020,1,2020-01-01,weekday,13257491.0,12710302.0,1.0431,3.07
4121,2020,1,2020-01-01,weekend,2009569.0,1913493.5,1.0502,3.7
4165,2020,1,2020-01-01,total,30929918.0,29926625.0,1.0335,3.17
4165,2020,1,2020-01-01,weekday,26857141.0,26074283.0,1.03,3.12
4165,2020,1,2020-01-01,weekend,4072777.0,3852342.0,1.0572,3.48
4204,2020,1,2020-01-01,total,1534874.0,1413397.0,1.0859,1.1
4204,2020,1,2020-01-01,weekday,1296028.0,1199497.0,1.0805,1.07
4204,2020,1,2020-01-01,weekend,238846.0,213900.0,1.1166,1.32
4205,2020,1,2020-01-01,total,1338325.0,1308794.0,1.0226,0.59
4205,2020,1,2020-01-01,weekday,1129415.0,1099879.0,1.0269,0.58
4205,2020,1,2020-01-01,weekend,208910.0,208915.0,1.0,0.67
4207,2020,1,2020-01-01,total,1452345.0,1447625.0,1.0033,0.85
4207,2020,1,2020-01-01,weekday,1231579.0,1227597.0,1.0032,0.83
4207,2020,1,2020-01-01,weekend,220766.0,220028.0,1.0034,0.96
4208,2020,1,2020-01-01,total,626498.0,631205.5,0.9925,1.33
4208,2020,1,2020-01-01,weekday,558554.0,536449.0,1.0412,1.33
4208,2020,1,2020-01-01,weekend,67944.0,94756.5,0.717,1.27
4209,2020,1,2020-01-01,total,826368.0,824511.0,1.0023,0.0
4209,2020,1,2020-01-01,weekday,704211.0,696755.0,1.0107,0.0
4209,2020,1,2020-01-01,weekend,122157.0,127756.0,0.9562,0.0
4210,2020,1,2020-01-01,total,715356.0,697050.5,1.0263,0.0
4210,2020,1,2020-01-01,weekday,627932.0,607115.0,1.0343,0.0
4210,2020,1,2020-01-01,weekend,87424.0,89935.5,0.9721,0.0
4211,2020,1,2020-01-01,total,550440.0,586619.5,0.9383,0.0
4211,2020,1,2020-01-01,weekday,478889.0,519283.5,0.9222,0.0
4211,2020,1,2020-01-01,weekend,71551.0,67336.0,1.0626,0.0
4212,2020,1,2020-01-01,total,995378.0,957164.5,1.0399,0.0
4212,2020,1,2020-01-01,weekday,858907.0,829451.5,1.0355,0.0
4212,2020,1,2020-01-01,weekend,136471.0,127713.0,1.0686,0.0
4221,2020,1,2020-01-01,total,2541985.0,2547376.5,0.9979,0.23
4221,2020,1,2020-01-01,weekday,2191217.0,2185498.0,1.0026,0.23
4221,2020,1,2020-01-01,weekend,350768.0,361878.5,0.9693,0.25
4263,2020,1,2020-01-01,total,700053.0,703327.5,0.9953,0.0
4263,2020,1,2020-01-01,weekday,597982.0,595749.0,1.0037,0.0
4263,2020,1,2020-01-01,weekend,102071.0,107578.5,0.9488,0.0
4301,2020,1,2020-01-01,total,3143608.0,3109525.0,1.011,0.0
4301,2020,1,2020-01-01,weekday,2622287.0,2552936.0,1.0272,0.0
4301,2020,1,2020-01-01,weekend,521321.0,556589.0,0.9366,0.0
4302,2020,1,2020-01-01,total,4905106.0,4712201.0,1.0409,0.69
4302,2020,1,2020-01-01,weekday,4219723.0,4092281.5,1.0311,0.7
4302,2020,1,2020-01-01,weekend,685383.0,619919.5,1.1056,0.59
4303,2020,1,2020-01-01,total,2122274.0,2076201.0,1.0222,0.0
4303,2020,1,2020-01-01,weekday,1768320.0,1745764.5,1.0129,0.0
4303,2020,1,2020-01-01,weekend,353954.0,330436.5,1.0712,0.0
4304,2020,1,2020-01-01,total,1878057.0,1959656.5,0.9584,0.0
4304,2020,1,2020-01-01,weekday,1584020.0,1631337.5,0.971,0.0
4304,2020,1,2020-01-01,weekend,294037.0,328319.0,0.8956,0.0
4305,2020,1,2020-01-01,total,1499308.0,1536192.0,0.976,0.0
4305,2020,1,2020-01-01,weekday,1292621.0,1309476.0,0.9871,0.0
4305,2020,1,2020-01-01,weekend,206687.0,226716.0,0.9117,0.0
4306,2020,1,2020-01-01,total,2890042.0,2785687.0,1.0375,1.35
4306,2020,1,2020-01-01,weekday,2427570.0,2354554.0,1.031,1.32
4306,2020,1,2020-01-01,weekend,462472.0,431133.0,1.0727,1.51
4307,2020,1,2020-01-01,total,1978145.0,1903665.5,1.0391,0.0
4307,2020,1,2020-01-01,weekday,1660106.0,1592707.5,1.0423,0.0
4307,2020,1,2020-01-01,weekend,318039.0,310958.0,1.0228,0.0
4308,2020,1,2020-01-01,total,310215.0,307794.5,1.0079,0.0
4308,2020,1,2020-01-01,weekday,265306.0,259104.5,1.0239,0.0
4308,2020,1,2020-01-01,weekend,44909.0,48690.0,0.9223,0.0
4309,2020,1,2020-01-01,total,2107610.0,2071651.5,1.0174,0.0
4309,2020,1,2020-01-01,weekday,1792780.0,1750511.5,1.0241,0.0
4309,2020,1,2020-01-01,weekend,314830.0,321140.0,0.9804,0.0
4310,2020,1,2020-01-01,total,791801.0,741866.0,1.0673,0.65
4310,2020,1,2020-01-01,weekday,678379.0,647582.0,1.0476,0.62
4310,2020,1,2020-01-01,weekend,113422.0,94284.0,1.203,0.82
4311,2020,1,2020-01-01,total,1695701.0,1572110.5,1.0786,0.0
4311,2020,1,2020-01-01,weekday,1418698.0,1317265.0,1.077,0.0
4311,2020,1,2020-01-01,weekend,277003.0,254845.5,1.0869,0.0
4312,2020,1,2020-01-01,total,1127173.0,962407.5,1.1712,0.0
4312,2020,1,2020-01-01,weekday,966183.0,823797.0,1.1728,0.0
4312,2020,1,2020-01-01,weekend,160990.0,138610.5,1.1615,0.0
4313,2020,1,2020-01-01,total,880218.0,869966.0,1.0118,0.0
4313,2020,1,2020-01-01,weekday,754227.0,741104.0,1.0177,0.0
4313,2020,1,2020-01-01,weekend,125991.0,128862.0,0.9777,0.0
4314,2020,1,2020-01-01,total,1871929.0,1874607.5,0.9986,0.0
4314,2020,1,2020-01-01,weekday,1612840.0,1612355.5,1.0003,0.0
4314,2020,1,2020-01-01,weekend,259089.0,262252.0,0.9879,0.0
4315,2020,1,2020-01-01,total,1337529.0,1316991.0,1.0156,0.0
4315,2020,1,2020-01-01,weekday,1162987.0,1137436.5,1.0225,0.0
4315,2020,1,2020-01-01,weekend,174542.0,179554.5,0.9721,0.0
4316,2020,1,2020-01-01,total,1356015.0,1369944.0,0.9898,0.0
4316,2020,1,2020-01-01,weekday,1137649.0,1156288.5,0.9839,0.0
4316,2020,1,2020-01-01,weekend,218366.0,213655.5,1.022,0.0
4317,2020,1,2020-01-01,total,526497.0,504148.0,1.0443,0.0
4317,2020,1,2020-01-01,weekday,452795.0,448993.5,1.0085,0.0
4317,2020,1,2020-01-01,weekend,73702.0,55154.5,1.3363,0.0
4318,2020,1,2020-01-01,total,279440.0,285726.5,0.978,0.0
4318,2020,1,2020-01-01,weekday,245134.0,248571.5,0.9862,0.0
