year,month,period,day_group,ridership,omny_pct
2020,1,2020-01-01,total,138563363.0,1.51
2020,1,2020-01-01,weekday,118478386.0,1.49
2020,1,2020-01-01,weekend,20084977.0,1.67
2020,2,2020-02-01,total,131043245.0,2.43
2020,2,2020-02-01,weekday,107629432.0,2.36
2020,2,2020-02-01,weekend,23413813.0,2.74
2020,3,2020-03-01,total,74060114.0,2.31
2020,3,2020-03-01,weekday,62466673.0,2.25
2020,3,2020-03-01,weekend,11593441.0,2.63
2020,4,2020-04-01,total,12021687.0,2.1
2020,4,2020-04-01,weekday,10012927.0,2.03
2020,4,2020-04-01,weekend,2008760.0,2.47
2020,5,2020-05-01,total,15447598.0,2.69
2020,5,2020-05-01,weekday,12167252.0,2.51
2020,5,2020-05-01,weekend,3280346.0,3.36
2020,6,2020-06-01,total,23920852.0,3.8
2020,6,2020-06-01,weekday,19944748.0,3.57
2020,6,2020-06-01,weekend,3976104.0,4.94
2020,7,2020-07-01,total,32431057.0,5.27
2020,7,2020-07-01,weekday,27251684.0,5.07
2020,7,2020-07-01,weekend,5179373.0,6.33
2020,8,2020-08-01,total,35097641.0,6.68
2020,8,2020-08-01,weekday,27756085.0,6.34
2020,8,2020-08-01,weekend,7341556.0,7.94
2020,9,2020-09-01,total,42720330.0,7.08
2020,9,2020-09-01,weekday,35141358.0,6.72
2020,9,2020-09-01,weekend,7578972.0,8.77
2020,10,2020-10-01,total,48072018.0,8.17
2020,10,2020-10-01,weekday,38711889.0,7.64
2020,10,2020-10-01,weekend,9360129.0,10.37
2020,11,2020-11-01,total,43739591.0,9.46
2020,11,2020-11-01,weekday,34925006.0,8.87
2020,11,2020-11-01,weekend,8814585.0,11.79
2020,12,2020-12-01,total,43802852.0,10.67
2020,12,2020-12-01,weekday,36350411.0,10.2
2020,12,2020-12-01,weekend,7452441.0,12.92
2021,1,2021-01-01,total,41295552.0,12.19
2021,1,2021-01-01,weekday,32696482.0,11.48
2021,1,2021-01-01,weekend,8599070.0,14.9
2021,2,2021-02-01,total,39333255.0,14.11
2021,2,2021-02-01,weekday,31746819.0,13.33
2021,2,2021-02-01,weekend,7586436.0,17.36
2021,3,2021-03-01,total,50945988.0,15.19
2021,3,2021-03-01,weekday,42214172.0,14.41
2021,3,2021-03-01,weekend,8731816.0,18.93
2021,4,2021-04-01,total,53365971.0,16.82
2021,4,2021-04-01,weekday,43824979.0,15.98
2021,4,2021-04-01,weekend,9540992.0,20.66
2021,5,2021-05-01,total,58521157.0,18.78
2021,5,2021-05-01,weekday,45158701.0,17.62
2021,5,2021-05-01,weekend,13362456.0,22.69
2021,6,2021-06-01,total,65532980.0,20.58
2021,6,2021-06-01,weekday,52698645.0,19.51
2021,6,2021-06-01,weekend,12834335.0,24.96
2021,7,2021-07-01,total,66992366.0,22.35
2021,7,2021-07-01,weekday,52727081.0,21.31
2021,7,2021-07-01,weekend,14265285.0,26.17
2021,8,2021-08-01,total,66459472.0,23.14
2021,8,2021-08-01,weekday,53385967.0,22.18
2021,8,2021-08-01,weekend,13073505.0,27.06
2021,9,2021-09-01,total,73961517.0,23.69
2021,9,2021-09-01,weekday,59932646.0,22.41
2021,9,2021-09-01,weekend,14028871.0,29.17
2021,10,2021-10-01,total,83553219.0,24.3
2021,10,2021-10-01,weekday,65305091.0,22.55
2021,10,2021-10-01,weekend,18248128.0,30.53
2021,11,2021-11-01,total,82447923.0,25.3
2021,11,2021-11-01,weekday,67402443.0,23.97
2021,11,2021-11-01,weekend,15045480.0,31.3
2021,12,2021-12-01,total,78694533.0,25.17
2021,12,2021-12-01,weekday,65053627.0,24.03
2021,12,2021-12-01,weekend,13640906.0,30.64
2022,1,2022-01-01,total,63813398.0,25.74
2022,1,2022-01-01,weekday,51303425.0,24.1
2022,1,2022-01-01,weekend,12509973.0,32.49
2022,2,2022-02-01,total,70111552.0,27.81
2022,2,2022-02-01,weekday,57147303.0,26.32
2022,2,2022-02-01,weekend,12964249.0,34.39
2022,3,2022-03-01,total,87657664.0,29.25
2022,3,2022-03-01,weekday,73912400.0,28.06
2022,3,2022-03-01,weekend,13745264.0,35.7
2022,4,2022-04-01,total,83650792.0,31.14
2022,4,2022-04-01,weekday,66814256.0,29.7
2022,4,2022-04-01,weekend,16836536.0,36.84
2022,5,2022-05-01,total,88073364.0,32.12
2022,5,2022-05-01,weekday,71345792.0,30.77
2022,5,2022-05-01,weekend,16727572.0,37.88
2022,6,2022-06-01,total,88309870.0,34.27
2022,6,2022-06-01,weekday,72342998.0,33.02
2022,6,2022-06-01,weekend,15966872.0,39.93
2022,7,2022-07-01,total,80842118.0,36.33
2022,7,2022-07-01,weekday,62544329.0,35.34
2022,7,2022-07-01,weekend,18297789.0,39.7
2022,8,2022-08-01,total,83601127.0,36.94
2022,8,2022-08-01,weekday,68885362.0,36.15
2022,8,2022-08-01,weekend,14715765.0,40.62
2022,9,2022-09-01,total,91292433.0,38.15
2022,9,2022-09-01,weekday,75001405.0,36.97
2022,9,2022-09-01,weekend,16291028.0,43.56
2022,10,2022-10-01,total,95493810.0,38.75
2022,10,2022-10-01,weekday,74928845.0,37.09
2022,10,2022-10-01,weekend,20564965.0,44.77
2022,11,2022-11-01,total,91469945.0,39.56
2022,11,2022-11-01,weekday,75169959.0,38.12
2022,11,2022-11-01,weekend,16299986.0,46.19
2022,12,2022-12-01,total,92386999.0,40.26
2022,12,2022-12-01,weekday,74680018.0,38.87
2022,12,2022-12-01,weekend,17706981.0,46.12
2023,1,2023-01-01,total,89426128.0,41.22
2023,1,2023-01-01,weekday,72643908.0,39.74
2023,1,2023-01-01,weekend,16782220.0,47.58
2023,2,2023-02-01,total,84882859.0,42.06
2023,2,2023-02-01,weekday,69645641.0,40.66
2023,2,2023-02-01,weekend,15237218.0,48.44
2023,3,2023-03-01,total,101642481.0,42.06
2023,3,2023-03-01,weekday,85241896.0,40.76
2023,3,2023-03-01,weekend,16400585.0,48.85
2023,4,2023-04-01,total,94592791.0,43.43
2023,4,2023-04-01,weekday,73531051.0,41.87
2023,4,2023-04-01,weekend,21061740.0,48.88
2023,5,2023-05-01,total,104902783.0,43.56
2023,5,2023-05-01,weekday,87054392.0,42.27
2023,5,2023-05-01,weekend,17848391.0,49.85
2023,6,2023-06-01,total,98093748.0,45.35
2023,6,2023-06-01,weekday,79842085.0,44.01
2023,6,2023-06-01,weekend,18251663.0,51.21
2023,7,2023-07-01,total,91580897.0,47.08
2023,7,2023-07-01,weekday,70864785.0,46.11
2023,7,2023-07-01,weekend,20716112.0,50.39
2023,8,2023-08-01,total,94666920.0,46.99
2023,8,2023-08-01,weekday,77627642.0,46.21
2023,8,2023-08-01,weekend,17039278.0,50.53
2023,9,2023-09-01,total,95990088.0,47.31
2023,9,2023-09-01,weekday,76900480.0,45.98
2023,9,2023-09-01,weekend,19089608.0,52.68
2023,10,2023-10-01,total,105225533.0,47.04
2023,10,2023-10-01,weekday,85625829.0,45.53
2023,10,2023-10-01,weekend,19599704.0,53.64
2023,11,2023-11-01,total,99356762.0,48.46
2023,11,2023-11-01,weekday,81579417.0,46.94
2023,11,2023-11-01,weekend,17777345.0,55.44
2023,12,2023-12-01,total,97970849.0,49.79
2023,12,2023-12-01,weekday,75351861.0,48.02
2023,12,2023-12-01,weekend,22618988.0,55.68
2024,1,2024-01-01,total,92465722.0,50.22
2024,1,2024-01-01,weekday,77634890.0,48.9
2024,1,2024-01-01,weekend,14830832.0,57.16
2024,2,2024-02-01,total,91275693.0,51.05
2024,2,2024-02-01,weekday,74839660.0,49.55
2024,2,2024-02-01,weekend,16436033.0,57.89
2024,3,2024-03-01,total,101031532.0,51.28
2024,3,2024-03-01,weekday,80013216.0,49.58
2024,3,2024-03-01,weekend,21018316.0,57.78
2024,4,2024-04-01,total,100283746.0,51.85
2024,4,2024-04-01,weekday,82171388.0,50.5
2024,4,2024-04-01,weekend,18112358.0,57.97
2024,5,2024-05-01,total,106915502.0,52.9
2024,5,2024-05-01,weekday,88662427.0,51.56
2024,5,2024-05-01,weekend,18253075.0,59.39
2024,6,2024-06-01,total,97448213.0,55.77
2024,6,2024-06-01,weekday,75028015.0,54.14
2024,6,2024-06-01,weekend,22420198.0,61.23
2024,7,2024-07-01,total,95097222.0,57.36
2024,7,2024-07-01,weekday,78631671.0,56.71
2024,7,2024-07-01,weekend,16465551.0,60.47
2024,8,2024-08-01,total,93824035.0,57.9
2024,8,2024-08-01,weekday,74878419.0,57.09
