puma,year,month,period,day_group,ridership,omny_pct
4103,2020,1,2020-01-01,total,2754983.0,0.0
4103,2020,1,2020-01-01,weekday,2250825.0,0.0
4103,2020,1,2020-01-01,weekend,504158.0,0.0
4104,2020,1,2020-01-01,total,4491540.0,1.64
4104,2020,1,2020-01-01,weekday,3809953.0,1.58
4104,2020,1,2020-01-01,weekend,681587.0,2.01
4107,2020,1,2020-01-01,total,7446458.0,2.45
4107,2020,1,2020-01-01,weekday,6176212.0,2.29
4107,2020,1,2020-01-01,weekend,1270246.0,3.22
4108,2020,1,2020-01-01,total,6323630.0,1.92
4108,2020,1,2020-01-01,weekday,5437489.0,1.85
4108,2020,1,2020-01-01,weekend,886141.0,2.35
4109,2020,1,2020-01-01,total,2649160.0,1.86
4109,2020,1,2020-01-01,weekday,2198571.0,1.8
4109,2020,1,2020-01-01,weekend,450589.0,2.15
4110,2020,1,2020-01-01,total,1877820.0,0.38
4110,2020,1,2020-01-01,weekday,1559736.0,0.36
4110,2020,1,2020-01-01,weekend,318084.0,0.46
4111,2020,1,2020-01-01,total,2195947.0,1.38
4111,2020,1,2020-01-01,weekday,1872518.0,1.34
4111,2020,1,2020-01-01,weekend,323429.0,1.61
4112,2020,1,2020-01-01,total,3065432.0,1.1
4112,2020,1,2020-01-01,weekday,2595640.0,1.09
4112,2020,1,2020-01-01,weekend,469792.0,1.12
4121,2020,1,2020-01-01,total,15267060.0,3.15
4121,2020,1,2020-01-01,weekday,13257491.0,3.07
4121,2020,1,2020-01-01,weekend,2009569.0,3.7
4165,2020,1,2020-01-01,total,30929918.0,3.17
4165,2020,1,2020-01-01,weekday,26857141.0,3.12
4165,2020,1,2020-01-01,weekend,4072777.0,3.48
4204,2020,1,2020-01-01,total,1534874.0,1.1
4204,2020,1,2020-01-01,weekday,1296028.0,1.07
4204,2020,1,2020-01-01,weekend,238846.0,1.32
4205,2020,1,2020-01-01,total,1338325.0,0.59
4205,2020,1,2020-01-01,weekday,1129415.0,0.58
