complex_id,baseline_years,station_name,reason,notes
328,2019,WTC-Cortlandt (1),Station closed from 9/11/2001 until 9/29/2018. Only 2019 provides full year of data.,Using single year baseline may not fully represent typical ridership patterns as station was still recovering after 17-year closure.
475,"2017, 2018, 2019",96 St-2 Ave (Q),"Second Avenue Subway Phase 1 station opened January 1, 2017.",Excluded years when the stations were not open.
476,"2017, 2018, 2019",86 St-2 Ave (Q),"Second Avenue Subway Phase 1 station opened January 1, 2017.",Excluded years when the stations were not open.
477,"2017, 2018, 2019",72 St-2 Ave (Q),"Second Avenue Subway Phase 1 station opened January 1, 2017.",Excluded years when the stations were not open.
218,"2015, 2016, 2017, 2019","167 St (B,D)",Station closed between 08/27/2018 and 01/09/2019,Excluded years when the stations were closed.
216,"2015, 2016, 2017, 2019","174-175 Sts (B,D)",Station closed between 08/13/2018 and 12/26/2018,Excluded years when the stations were closed.
294,"2015, 2016, 2017, 2019",238 St (1),Station closed between 09/04/2018 and 01/02/2019,Excluded years when the stations were closed.
114,"2015, 2016, 2019",Central Av (M),Station closed between 09/02/2017 and 04/30/2018,Excluded years when the stations were closed.
113,"2015, 2016, 2019",Knickerbocker Av (M),Station closed between 09/02/2017 and 04/30/2018,Excluded years when the stations were closed.
437,"2015, 2016, 2017, 2019",145 St (3),Station closed between 07/23/2018 and 11/28/2018,Excluded years when the stations were closed.
149,"2015, 2016, 2017, 2019",163 St-Amsterdam Av (C),Station closed between 03/12/2018 and 09/29/2018,Excluded years when the stations were closed.
605,"2015, 2016, 2017, 2018","168 St (A,C,1)",Station closed between 01/02/2019 and 12/21/2019,Excluded years when the stations were closed.
228,"2015, 2016, 2017, 2019","23 St (F,M)",Station closed between 07/23/2018 and 11/29/2018,Excluded years when the stations were closed.
404,"2015, 2016, 2017, 2019",28 St (6),Station closed between 07/16/2018 and 01/14/2019,Excluded years when the stations were closed.
224,"2015, 2016, 2017, 2019",57 St (F),Station closed between 07/09/2018 and 12/19/2018,Excluded years when the stations were closed.
160,"2015, 2016, 2017, 2019","72 St (B,C)",Station closed between 05/07/2018 and 10/04/2018,Excluded years when the stations were closed.
158,"2015, 2016, 2017, 2019","86 St (B,C)",Station closed between 06/04/2018 and 10/26/2018,Excluded years when the stations were closed.
155,"2015, 2016, 2017, 2019","Cathedral Pkwy-110 St (B,C)",Station closed between 04/09/2018 and 09/02/2018,Excluded years when the stations were closed.
81,"2015, 2016, 2017, 2018",111 St (J),Station closed between 01/14/2019 and 06/11/2019,Excluded years when the stations were closed.
3,"2015, 2016, 2019","30 Av (N,W)",Station closed between 10/23/2017 and 06/25/2018,Excluded years when the stations were closed.
5,"2015, 2016, 2019","36 Av (N,W)",Station closed between 10/23/2017 and 06/25/2018,Excluded years when the stations were closed.
6,"2015, 2016, 2017","39 Av-Dutch Kills (N,W)",Station closed between 07/02/2018 and 01/28/2019,Excluded years when the stations were closed.
2,"2015, 2016, 2017, 2018","Astoria Blvd (N,W)",Station closed between 03/17/2019 and 12/19/2019,Excluded years when the stations were closed.
4,"2015, 2016, 2017, 2019","Broadway (N,W)",Station closed between 07/02/2018 and 01/24/2019,Excluded years when the stations were closed.
471,"2016, 2017, 2018, 2019",34 St-Hudson Yards (7),Station closed between 01/01/2015 and 09/14/2015.,Excluded years when the stations were closed.
351,"2017, 2018, 2019",Van Siclen Av (3) ,Station closed between 4/20/2015 and 3/28/2016.,Excluded years when the stations were closed.
346,"2015, 2018, 2019",Sutter Av-Rutland Rd (3) ,Station closed between 10/3/2016 and 6/18/2017.,Excluded years when the stations were closed.
348,"2017, 2018, 2019",Rockaway Av (3) ,Station closed between 4/20/2015 and 3/28/2016.,Excluded years when the stations were closed.
349,"2015, 2018, 2019",Junius St (3) ,Station closed between 10/3/2016 and 6/18/2017.,Excluded years when the stations were closed.
