STATION,LINENAME
1 AV,L
1 AVE,L
103 ST,BC
103 ST,6
103 ST,1
103 ST-CORONA,7
104 ST,JZ
104 ST,A
110 ST,6
110 ST-CATHEDRL,1
110 ST-CPN,23
111 ST,A
111 ST,7
111 ST,J
116 ST,6
116 ST,23
116 ST,BC
116 ST-COLUMBIA,1
121 ST,JZ
125 ST,456
125 ST,ACBD
125 ST,23
125 ST,1
135 ST,23
135 ST,BC
137 ST CITY COL,1
137 ST-CITY COL,1
138 ST-3 AVE,6
138 ST-GR CONC,45
138/GRAND CONC,45
14 ST,FLM123
14 ST,ACEL
14 ST,123FLM
14 ST-6 AVE,FLM123
14 ST-UNION SQ,LNQR456
14 ST-UNION SQ,456LNQR
14 ST-UNION SQ,456LNQRW
14 ST-UNION SQ,LNQR456W
145 ST,ABCD
145 ST,1
145 ST,3
148 ST-LENOX,3
149 ST-3 AVE,25
149 ST-GR CONC,245
149/GRAND CONC,245
15 ST-PROSPECT,FG
155 ST,BD
155 ST,C
157 ST,1
161 ST-YANKEE,BD4
161 ST-YANKEE,4BD
161/YANKEE STAD,4BD
161/YANKEE STAD,BD4
163 ST-AMSTERDM,C
167 ST,4
167 ST,BD
168 ST,1AC
168 ST,AC1
168 ST-BROADWAY,1AC
168 ST-BROADWAY,AC1
169 ST,F
170 ST,BD
170 ST,4
174 ST,25
174-175 ST,BD
174-175 STS,BD
175 ST,A
176 ST,4
18 AV,F
18 AV,N
18 AV,D
18 AVE,F
18 AVE,D
18 AVE,N
18 ST,1
181 ST,A
181 ST,1
182-183 ST,BD
182-183 STS,BD
183 ST,4
190 ST,A
191 ST,1
2 AV,F
2 AVE,F
20 AV,N
20 AV,D
20 AVE,D
20 AVE,N
207 ST,1
21 ST,F
21 ST,G
21 ST-QNSBRIDGE,F
215 ST,1
219 ST,25
22 AVE-BAY PKY,F
225 ST,25
23 ST,6
23 ST,NR
23 ST,NRW
23 ST,CE
23 ST,1
23 ST,FM
23 ST-5 AVE,NR
23 ST-6 AVE,FM
231 ST,1
233 ST,25
238 ST,1
242 ST,1
25 AV,D
25 AVE,D
25 ST,R
28 ST,6
28 ST,1
28 ST,NRW
28 ST,NR
28 ST-BROADWAY,NR
3 AV,L
3 AV 138 ST,6
3 AV-149 ST,25
3 AVE,L
30 AV,NQW
30 AV,NQ
33 ST,6
33 ST-RAWSON ST,7
33 ST/RAWSON ST,7
34 ST-HERALD SQ,BDFMNQRW
34 ST-HERALD SQ,BDFMNQR
34 ST-HUDSON YD,7
34 ST-PENN STA,123
34 ST-PENN STA,ACE
34 ST-PENN STA,123ACE
36 AV,NQ
36 AV,NQW
36 ST,MR
36 ST,DNR
39 AV,NQ
39 AV,NQW
4 AV-9 ST,DFGMNR
4 AVE,DFGMNR
40 ST LOWERY ST,7
40 ST-LOWERY ST,7
42 ST-BRYANT PK,BDFM7
42 ST-GRD CNTRL,4567S
42 ST-PA BUS TE,ACENQRS1237
42 ST-PA BUS TE,ACENGRS1237
42 ST-PORT AUTH,ACENGRS1237
42 ST-PORT AUTH,ACENGRS1237W
42 ST-PORT AUTH,ACENQRS1237
42 ST-PORT AUTH,ACENQRS1237W
42 ST-TIMES SQ,ACENQRS1237
42 ST-TIMES SQ,1237ACENQRS
45 ST,R
46 ST,MR
46 ST BLISS ST,7
46 ST-BLISS ST,7
47-50 ST-ROCK,BDFM
47-50 STS ROCK,BDFM
49 ST,NQR
49 ST,NQRW
49 ST-7 AVE,NQR
4AV-9 ST,DFGMNR
5 AV/53 ST,EM
