nyc,month,entries,exits
New York City,1,135353222.0,103510393.2
New York City,2,129817389.4,98815645.2
New York City,3,148771735.0,112950733.39999999
New York City,4,144533938.0,110451169.0
New York City,5,150494609.2,114741099.0
New York City,6,146080511.6,112525717.2
New York City,7,139062890.6,108605282.2
New York City,8,138848428.0,108602655.6
New York City,9,142278416.4,109542713.0
New York City,10,153676243.4,117853914.0
New York City,11,142563877.0,109263367.8
New York City,12,141886830.8,109581069.8
