puma,month,entries,exits
4103,1,2757775.6,2273398.8
4103,2,2552574.4,2085897.7999999998
4103,3,3057809.8,2458578.4
4103,4,2906602.6,2330872.4
4103,5,3023247.2,2374956.4
4103,6,2976245.5999999996,2379466.8
4103,7,2841771.6,2288371.0
4103,8,2778992.0,2234371.8
4103,9,2776775.8,2215602.6
4103,10,3040663.4,2427681.4
4103,11,2842943.8,2278487.6
4103,12,2888262.2,2360590.8
4104,1,4076672.4000000004,3069332.0
4104,2,3924779.2,2926450.4
4104,3,4551837.0,3392363.6
4104,4,4510494.8,3380324.2
4104,5,4679651.2,3476570.6
4104,6,4606492.6,3403741.6
4104,7,4275011.8,3221800.6
4104,8,4248028.4,3221444.4
4104,9,4433573.8,3334879.2
4104,10,4973045.6,3759301.2
4104,11,4460928.8,3366874.8
4104,12,4355467.0,3310538.6
4107,1,7580505.6,6000891.4
4107,2,7226491.2,5712642.2
4107,3,8215087.8,6496246.8
4107,4,8172609.6,6454660.2
4107,5,8488588.0,6686620.4
4107,6,8085523.2,6450049.2
4107,7,7492570.6,6039316.0
4107,8,7314159.2,5887432.0
4107,9,7797802.6,6247907.6
4107,10,8598488.8,6880623.2
4107,11,8125699.4,6467473.4
4107,12,7981611.0,6416449.4
4108,1,6127512.2,5073469.4
4108,2,5878137.6,4830077.399999999
4108,3,6635112.800000001,5468376.4
4108,4,6459924.4,5366938.4
4108,5,6727491.0,5508532.4
4108,6,6517051.0,5355985.2
4108,7,6038614.6,5049706.0
4108,8,6020931.6,5018439.2
4108,9,6407354.6,5275625.2
4108,10,6976889.0,5707337.4
4108,11,6477345.2,5320193.0
4108,12,6349674.399999999,5240438.2
4109,1,2675629.4,2184641.4
4109,2,2693275.4,2164201.2
4109,3,3081264.0,2488559.0
4109,4,2969921.4,2404648.4
4109,5,3029938.5999999996,2486510.4
4109,6,2816346.2,2329517.8
4109,7,2697540.0,2258317.2
4109,8,2690621.8,2269325.0
4109,9,2958345.6,2421581.0
4109,10,3216330.6,2615546.2
4109,11,2953296.0,2407889.6
4109,12,2780152.8,2292959.8
4110,1,1897042.4,980632.6
4110,2,1800565.4,923767.4
4110,3,2060813.2,1048131.2
4110,4,1979671.5999999999,1016689.2
4110,5,2097592.8,1077170.0
4110,6,2018425.8,1037340.0
4110,7,1870706.4,976383.0
4110,8,1801326.8,947311.2
4110,9,1907761.8,970389.4
4110,10,2061106.5999999999,1048753.6
4110,11,1946386.4,995052.4
4110,12,1930404.8,988081.2
4111,1,1984344.0,1634673.4
4111,2,1892886.0,1515652.4000000001
4111,3,2156892.0,1715665.4
4111,4,2039622.0,1659897.6
4111,5,2159113.8,1762295.6
4111,6,2113174.2,1756437.8
4111,7,1938623.6,1645189.0
4111,8,1953204.6,1652982.6
4111,9,2067361.4,1719448.0
4111,10,2243096.2,1818161.0
4111,11,2090351.0,1688419.2
4111,12,2037542.4,1667607.2000000002
