complex_id,station_name,year,month,entries,exits
1,"Astoria-Ditmars Blvd (N,W)",2015,1,418413.0,374954.0
1,"Astoria-Ditmars Blvd (N,W)",2015,2,397504.0,359511.0
1,"Astoria-Ditmars Blvd (N,W)",2015,3,477430.0,435926.0
1,"Astoria-Ditmars Blvd (N,W)",2015,4,466954.0,420570.0
1,"Astoria-Ditmars Blvd (N,W)",2015,5,469181.0,424123.0
1,"Astoria-Ditmars Blvd (N,W)",2015,6,468920.0,427420.0
1,"Astoria-Ditmars Blvd (N,W)",2015,7,448737.0,401434.0
1,"Astoria-Ditmars Blvd (N,W)",2015,8,432367.0,396359.0
1,"Astoria-Ditmars Blvd (N,W)",2015,9,458887.0,415737.0
1,"Astoria-Ditmars Blvd (N,W)",2015,10,497137.0,440851.0
1,"Astoria-Ditmars Blvd (N,W)",2015,11,451201.0,404496.0
1,"Astoria-Ditmars Blvd (N,W)",2015,12,466665.0,413907.0
1,"Astoria-Ditmars Blvd (N,W)",2016,1,435446.0,384411.0
1,"Astoria-Ditmars Blvd (N,W)",2016,2,432223.0,386693.0
1,"Astoria-Ditmars Blvd (N,W)",2016,3,490806.0,432718.0
1,"Astoria-Ditmars Blvd (N,W)",2016,4,465560.0,411553.0
1,"Astoria-Ditmars Blvd (N,W)",2016,5,473162.0,414658.0
1,"Astoria-Ditmars Blvd (N,W)",2016,6,471071.0,416600.0
1,"Astoria-Ditmars Blvd (N,W)",2016,7,427856.0,381937.0
1,"Astoria-Ditmars Blvd (N,W)",2016,8,442640.0,403677.0
1,"Astoria-Ditmars Blvd (N,W)",2016,9,460916.0,405082.0
1,"Astoria-Ditmars Blvd (N,W)",2016,10,469632.0,414584.0
1,"Astoria-Ditmars Blvd (N,W)",2016,11,453479.0,399065.0
1,"Astoria-Ditmars Blvd (N,W)",2016,12,452079.0,389291.0
1,"Astoria-Ditmars Blvd (N,W)",2017,1,439831.0,387801.0
1,"Astoria-Ditmars Blvd (N,W)",2017,2,409593.0,357432.0
1,"Astoria-Ditmars Blvd (N,W)",2017,3,464130.0,399864.0
1,"Astoria-Ditmars Blvd (N,W)",2017,4,444665.0,387486.0
1,"Astoria-Ditmars Blvd (N,W)",2017,5,426095.0,357901.0
1,"Astoria-Ditmars Blvd (N,W)",2017,6,431301.0,376403.0
1,"Astoria-Ditmars Blvd (N,W)",2017,7,409677.0,365427.0
1,"Astoria-Ditmars Blvd (N,W)",2017,8,373474.0,329266.0
1,"Astoria-Ditmars Blvd (N,W)",2017,9,384108.0,330824.0
1,"Astoria-Ditmars Blvd (N,W)",2017,10,456117.0,395428.0
1,"Astoria-Ditmars Blvd (N,W)",2017,11,426016.0,362810.0
1,"Astoria-Ditmars Blvd (N,W)",2017,12,409640.0,350094.0
1,"Astoria-Ditmars Blvd (N,W)",2018,1,410593.0,358640.0
1,"Astoria-Ditmars Blvd (N,W)",2018,2,377983.0,329634.0
1,"Astoria-Ditmars Blvd (N,W)",2018,3,384999.0,331664.0
1,"Astoria-Ditmars Blvd (N,W)",2018,4,409463.0,295871.0
1,"Astoria-Ditmars Blvd (N,W)",2018,5,419770.0,238558.0
1,"Astoria-Ditmars Blvd (N,W)",2018,6,352871.0,185588.0
1,"Astoria-Ditmars Blvd (N,W)",2018,7,340560.0,192458.0
1,"Astoria-Ditmars Blvd (N,W)",2018,8,360856.0,272008.0
1,"Astoria-Ditmars Blvd (N,W)",2018,9,337847.0,233724.0
1,"Astoria-Ditmars Blvd (N,W)",2018,10,440516.0,323184.0
1,"Astoria-Ditmars Blvd (N,W)",2018,11,398335.0,253342.0
1,"Astoria-Ditmars Blvd (N,W)",2018,12,347395.0,252094.0
1,"Astoria-Ditmars Blvd (N,W)",2019,1,391375.0,358278.0
1,"Astoria-Ditmars Blvd (N,W)",2019,2,332468.0,273914.0
1,"Astoria-Ditmars Blvd (N,W)",2019,3,411553.0,348940.0
1,"Astoria-Ditmars Blvd (N,W)",2019,4,449673.0,396321.0
1,"Astoria-Ditmars Blvd (N,W)",2019,5,514221.0,444962.0
1,"Astoria-Ditmars Blvd (N,W)",2019,6,444118.0,401086.0
1,"Astoria-Ditmars Blvd (N,W)",2019,7,414191.0,375966.0
1,"Astoria-Ditmars Blvd (N,W)",2019,8,458218.0,425626.0
1,"Astoria-Ditmars Blvd (N,W)",2019,9,489126.0,436215.0
1,"Astoria-Ditmars Blvd (N,W)",2019,10,488929.0,425941.0
1,"Astoria-Ditmars Blvd (N,W)",2019,11,477758.0,422374.0
1,"Astoria-Ditmars Blvd (N,W)",2019,12,457648.0,403179.0
2,"Astoria Blvd (N,W)",2015,1,295476.0,212042.0
2,"Astoria Blvd (N,W)",2015,2,276480.0,203836.0
2,"Astoria Blvd (N,W)",2015,3,336470.0,247612.0
2,"Astoria Blvd (N,W)",2015,4,336893.0,243407.0
2,"Astoria Blvd (N,W)",2015,5,343270.0,247564.0
2,"Astoria Blvd (N,W)",2015,6,344864.0,253081.0
2,"Astoria Blvd (N,W)",2015,7,339670.0,247813.0
2,"Astoria Blvd (N,W)",2015,8,326350.0,237873.0
2,"Astoria Blvd (N,W)",2015,9,335997.0,244767.0
2,"Astoria Blvd (N,W)",2015,10,358611.0,256920.0
2,"Astoria Blvd (N,W)",2015,11,324602.0,234787.0
2,"Astoria Blvd (N,W)",2015,12,331515.0,238514.0
2,"Astoria Blvd (N,W)",2016,1,307022.0,213690.0
2,"Astoria Blvd (N,W)",2016,2,304995.0,217089.0
2,"Astoria Blvd (N,W)",2016,3,341341.0,243834.0
2,"Astoria Blvd (N,W)",2016,4,328458.0,236431.0
2,"Astoria Blvd (N,W)",2016,5,336353.0,243383.0
2,"Astoria Blvd (N,W)",2016,6,341209.0,249304.0
2,"Astoria Blvd (N,W)",2016,7,318378.0,233911.0
2,"Astoria Blvd (N,W)",2016,8,327010.0,240832.0
2,"Astoria Blvd (N,W)",2016,9,331474.0,237995.0
2,"Astoria Blvd (N,W)",2016,10,340642.0,244070.0
2,"Astoria Blvd (N,W)",2016,11,321645.0,227885.0
2,"Astoria Blvd (N,W)",2016,12,316624.0,219912.0
2,"Astoria Blvd (N,W)",2017,1,305396.0,211927.0
2,"Astoria Blvd (N,W)",2017,2,288994.0,201526.0
2,"Astoria Blvd (N,W)",2017,3,326208.0,229687.0
2,"Astoria Blvd (N,W)",2017,4,315516.0,226936.0
2,"Astoria Blvd (N,W)",2017,5,302101.0,214305.0
2,"Astoria Blvd (N,W)",2017,6,312977.0,226914.0
2,"Astoria Blvd (N,W)",2017,7,307131.0,224545.0
2,"Astoria Blvd (N,W)",2017,8,277587.0,204560.0
2,"Astoria Blvd (N,W)",2017,9,280255.0,212242.0
2,"Astoria Blvd (N,W)",2017,10,387801.0,293264.0
2,"Astoria Blvd (N,W)",2017,11,460710.0,336837.0
2,"Astoria Blvd (N,W)",2017,12,445184.0,319670.0
2,"Astoria Blvd (N,W)",2018,1,439963.0,336121.0
2,"Astoria Blvd (N,W)",2018,2,409464.0,299351.0
2,"Astoria Blvd (N,W)",2018,3,410465.0,297999.0
2,"Astoria Blvd (N,W)",2018,4,443857.0,339164.0
2,"Astoria Blvd (N,W)",2018,5,458785.0,341438.0
2,"Astoria Blvd (N,W)",2018,6,362957.0,263964.0
2,"Astoria Blvd (N,W)",2018,7,275265.0,199988.0
2,"Astoria Blvd (N,W)",2018,8,283501.0,226300.0
2,"Astoria Blvd (N,W)",2018,9,262549.0,198780.0
2,"Astoria Blvd (N,W)",2018,10,336229.0,279272.0
2,"Astoria Blvd (N,W)",2018,11,310476.0,238067.0
2,"Astoria Blvd (N,W)",2018,12,256654.0,197350.0
2,"Astoria Blvd (N,W)",2019,1,285519.0,217248.0
2,"Astoria Blvd (N,W)",2019,2,242961.0,196512.0
2,"Astoria Blvd (N,W)",2019,3,141104.0,119947.0
2,"Astoria Blvd (N,W)",2019,12,81183.0,87172.0
3,"30 Av (N,W)",2015,1,366031.0,308211.0
