nyc,month,entries,exits
New York City,1,136845487.25,104785012.0
New York City,2,128534556.66666667,98296236.91666667
New York City,3,146880672.33333334,112130319.5
New York City,4,143984113.16666666,110567581.66666667
New York City,5,151923071.91666666,116241419.58333333
New York City,6,144960765.41666666,112269759.91666667
New York City,7,138473053.08333334,108705584.83333333
New York City,8,139675701.33333334,109976432.66666667
New York City,9,141618927.66666666,109913069.5
New York City,10,155546718.25,120375722.08333333
New York City,11,142999257.91666666,110708944.66666667
New York City,12,139324280.66666666,109014411.91666667
