puma,month,entries,exits
4103,1,2699144.666666667,2213401.3333333335
4103,2,2446380.6666666665,1997354.0
4103,3,2971550.3333333335,2417637.3333333335
4103,4,2835816.666666667,2291679.6666666665
4103,5,2970065.3333333335,2372494.333333333
4103,6,2904433.0,2325266.0
4103,7,2769247.0,2231922.666666667
4103,8,2721761.6666666665,2179928.0
4103,9,2657342.3333333335,2124667.333333333
4103,10,2960358.0,2360111.3333333335
4103,11,2774154.333333333,2227062.666666667
4103,12,2799814.3333333335,2297343.0
4104,1,4066946.3333333335,3036687.5833333335
4104,2,3848646.0,2842016.5
4104,3,4479879.0,3311693.0833333335
4104,4,4449797.5,3312532.8333333335
4104,5,4680160.25,3435022.9166666665
4104,6,4534102.5,3336141.4166666665
4104,7,4203837.5,3167536.9166666665
4104,8,4263162.333333333,3244004.5
4104,9,4364863.0,3298218.9166666665
4104,10,4991591.083333333,3779658.0833333335
4104,11,4449707.25,3388482.25
4104,12,4203346.0,3222568.583333333
4107,1,7502361.833333333,6013148.75
4107,2,6979095.666666667,5582020.75
4107,3,7970625.083333333,6356252.0
4107,4,7985417.666666667,6354587.416666667
4107,5,8399902.666666666,6691852.0
4107,6,7948834.0,6408646.333333333
4107,7,7377963.166666667,6012410.083333334
4107,8,7271010.833333333,5935202.583333333
4107,9,7720372.583333333,6271092.583333333
4107,10,8580465.5,6951456.5
4107,11,8001363.25,6443327.0
4107,12,7736064.416666667,6314551.916666667
4108,1,6197294.666666667,5256064.0
4108,2,5783504.0,4918761.333333333
4108,3,6520547.333333333,5549879.0
4108,4,6394745.0,5478850.333333333
4108,5,6729628.333333334,5711279.333333334
4108,6,6364110.333333333,5448891.333333334
4108,7,5940269.0,5169319.666666666
4108,8,6005540.0,5213846.0
4108,9,6324870.333333333,5400824.333333333
4108,10,7007445.0,5941294.0
4108,11,6482361.666666667,5519737.666666667
4108,12,6242145.666666667,5361588.666666666
4109,1,2666890.6666666665,2205617.0
4109,2,2629369.3333333335,2154731.6666666665
4109,3,3002743.333333333,2471316.0
4109,4,2910890.333333333,2400541.333333333
4109,5,3003998.0,2502326.333333333
4109,6,2722105.6666666665,2305118.333333333
4109,7,2612475.333333333,2255541.6666666665
4109,8,2646413.666666667,2292397.0
4109,9,2897334.6666666665,2414609.0
4109,10,3175527.3333333335,2634369.333333333
4109,11,2896441.333333333,2408656.6666666665
4109,12,2666862.333333333,2254131.0
4110,1,1845437.0833333333,958854.75
4110,2,1764316.5833333333,915645.4166666666
