period,ridership,baseline_ridership,baseline_comparison,omny_pct
2020-07-01,32469779,139062890.6,0.2335,5.27
2020-08-01,35126185,138848428.0,0.253,6.67
2020-09-01,42746715,142278416.4,0.3004,7.08
2020-10-01,48110815,153676243.4,0.3131,8.16
2020-11-01,43776425,142563877.0,0.3071,9.45
2020-12-01,43832969,141886830.8,0.3089,10.66
2021-01-01,41323232,135353222.0,0.3053,12.18
2021-02-01,39357932,129817389.4,0.3032,14.1
2021-03-01,50977692,148771735.0,0.3427,15.18
2021-04-01,53398624,144533938.0,0.3695,16.81
2021-05-01,58559313,150494609.2,0.3891,18.77
2021-06-01,65567404,146080511.6,0.4488,20.57
2021-07-01,67028849,139062890.6,0.482,22.33
2021-08-01,66494230,138848428.0,0.4789,23.13
2021-09-01,73991545,142278416.4,0.52,23.68
2021-10-01,83580455,153676243.4,0.5439,24.29
2021-11-01,82478579,142563877.0,0.5785,25.29
2021-12-01,78747960,141886830.8,0.555,25.15
2022-01-01,63848203,135353222.0,0.4717,25.73
2022-02-01,70144322,129817389.4,0.5403,27.8
2022-03-01,87702733,148771735.0,0.5895,29.24
2022-04-01,83693150,144533938.0,0.5791,31.12
2022-05-01,88116628,150494609.2,0.5855,32.1
2022-06-01,88341252,146080511.6,0.6047,34.25
2022-07-01,80861162,139062890.6,0.5815,36.32
2022-08-01,83627180,138848428.0,0.6023,36.93
2022-09-01,91320687,142278416.4,0.6418,38.13
2022-10-01,95529367,153676243.4,0.6216,38.73
2022-11-01,91510554,142563877.0,0.6419,39.54
2022-12-01,92422002,141886830.8,0.6514,40.25
2023-01-01,89460232,135353222.0,0.6609,41.2
2023-02-01,84910036,129817389.4,0.6541,42.04
2023-03-01,101692017,148771735.0,0.6835,42.04
2023-04-01,94623789,144533938.0,0.6547,43.42
2023-05-01,104938421,150494609.2,0.6973,43.54
2023-06-01,98119795,146080511.6,0.6717,45.33
2023-07-01,91607473,139062890.6,0.6587,47.06
2023-08-01,94687688,138848428.0,0.682,46.98
2023-09-01,96016343,142278416.4,0.6748,47.3
2023-10-01,105262762,153676243.4,0.685,47.02
2023-11-01,99403237,142563877.0,0.6973,48.44
2023-12-01,98004987,141886830.8,0.6907,49.78
2024-01-01,92494907,135353222.0,0.6834,50.21
2024-02-01,91301609,129817389.4,0.7033,51.04
2024-03-01,101077921,148771735.0,0.6794,51.26
2024-04-01,100320635,144533938.0,0.6941,51.83
2024-05-01,106949452,150494609.2,0.7107,52.88
2024-06-01,96949953,146080511.6,0.6637,55.51
2024-07-01,95147393,139062890.6,0.6842,57.35
2024-08-01,93862875,138848428.0,0.676,57.89
2024-09-01,104537389,142278416.4,0.7347,62.43
2024-10-01,114716557,153676243.4,0.7465,63.51
2024-11-01,103638632,142563877.0,0.727,64.7
2024-12-01,104982032,141886830.8,0.7399,65.21
2025-01-01,99972013,135353222.0,0.7386,66.61
2025-02-01,95094175,129817389.4,0.7325,68.42
2025-03-01,109473761,148771735.0,0.7359,69.75
2025-04-01,111195063,144533938.0,0.7693,72.03
2025-05-01,57308296,150494609.2,0.3808,70.05
