puma,puma_name,year,month,period,ridership,baseline_ridership,baseline_comparison,omny_pct
4103,Lower East Side & Chinatown,2020,7,2020-07-01,610683.0,2841771.6,0.2149,0.0
4104,Chelsea & Hell's Kitchen,2020,7,2020-07-01,779368.0,4341926.5,0.1795,8.65
4107,Upper West Side,2020,7,2020-07-01,1422444.0,7591599.7,0.1874,8.49
4108,Upper East Side & Roosevelt Island,2020,7,2020-07-01,1499394.0,6581726.733333333,0.2278,6.39
4109,Morningside Heights & Hamilton Heights,2020,7,2020-07-01,685946.0,2697540.0,0.2543,9.14
4110,Harlem,2020,7,2020-07-01,500102.0,1916094.7,0.261,8.1
4111,East Harlem,2020,7,2020-07-01,619837.0,2131401.066666667,0.2908,7.38
4112,Washington Heights & Inwood,2020,7,2020-07-01,915940.0,3222102.2,0.2843,9.16
4121,Financial District & Greenwich Village,2020,7,2020-07-01,2318456.0,15970740.2,0.1452,8.62
4165,"Midtown, East Midtown, & Flatiron",2020,7,2020-07-01,5038176.0,31234030.0,0.1613,7.44
4204,Highbridge & Concourse,2020,7,2020-07-01,553435.0,1793782.0499999998,0.3085,7.19
4205,Morris Heights & Mount Hope,2020,7,2020-07-01,485893.0,1396633.15,0.3479,6.72
4207,"Fordham, Bedford Park, & Norwood",2020,7,2020-07-01,538933.0,1569766.6,0.3433,6.91
4208,"Riverdale, Kingsbridge, & Marble Hill",2020,7,2020-07-01,215097.0,656133.0,0.3278,7.7
4209,Soundview & Parkchester,2020,7,2020-07-01,298665.0,847268.8,0.3525,6.97
4210,Co-op City & Throgs Neck,2020,7,2020-07-01,237409.0,710973.2,0.3339,6.61
4211,Pelham Parkway & Morris Park,2020,7,2020-07-01,180457.0,614600.4,0.2936,7.5
4212,"Wakefield, Williamsbridge, & Eastchester",2020,7,2020-07-01,280736.0,992460.0,0.2829,6.36
4221,"Melrose, Mott Haven, Longwood, & Hunts Point",2020,7,2020-07-01,871002.0,2491044.0,0.3497,7.66
4263,"Morrisania, Tremont, Belmont, & West Farms",2020,7,2020-07-01,246700.0,706489.8,0.3492,7.95
4301,Williamsburg & Greenpoint,2020,7,2020-07-01,730182.0,3195535.0,0.2285,0.0
4302,Downtown Brooklyn & Fort Greene,2020,7,2020-07-01,960488.0,4689865.0,0.2048,5.23
4303,Bedford-Stuyvesant,2020,7,2020-07-01,541881.0,2157200.4,0.2512,3.97
4304,Bushwick,2020,7,2020-07-01,556097.0,1918614.7333333336,0.2898,0.0
4305,East New York & Cypress Hills,2020,7,2020-07-01,537838.0,1586285.933333333,0.3391,2.31
4306,Park Slope & Carroll Gardens,2020,7,2020-07-01,578911.0,2618085.0,0.2211,3.5
4307,Sunset Park & Windsor Terrace,2020,7,2020-07-01,545378.0,1856622.0,0.2937,0.0
4308,Crown Heights (North),2020,7,2020-07-01,51628.0,293361.8,0.176,0.99
4309,Crown Heights (South),2020,7,2020-07-01,618006.0,2050359.0,0.3014,3.55
4310,Bay Ridge & Dyker Heights,2020,7,2020-07-01,220633.0,720148.6,0.3064,2.26
4311,Bensonhurst & Bath Beach,2020,7,2020-07-01,511847.0,1597163.4,0.3205,0.0
4312,Borough Park & Kensington,2020,7,2020-07-01,359476.0,981600.2,0.3662,0.0
4313,Coney Island & Brighton Beach,2020,7,2020-07-01,387412.0,1360612.2,0.2847,0.0
4314,Flatbush & Midwood,2020,7,2020-07-01,556921.0,1870085.6,0.2978,0.92
4315,Sheepshead Bay & Gravesend (East),2020,7,2020-07-01,406187.0,1344491.4,0.3021,0.0
4316,Ocean Hill & Brownsville,2020,7,2020-07-01,482733.0,1416583.1333333333,0.3408,3.37
4317,East Flatbush,2020,7,2020-07-01,175141.0,532136.6,0.3291,3.87
4318,Canarsie & Flatlands,2020,7,2020-07-01,75616.0,309341.2,0.2444,0.0
4401,Astoria & Queensbridge,2020,7,2020-07-01,699222.0,2968179.0,0.2356,4.4
4402,"Long Island City, Sunnyside, & Woodside",2020,7,2020-07-01,852659.0,3417748.4,0.2495,6.35
4403,Jackson Heights & East Elmhurst,2020,7,2020-07-01,422302.0,1177135.4,0.3588,4.79
4404,Elmhurst & Corona,2020,7,2020-07-01,1492478.0,4685284.4,0.3185,3.14
4405,"Ridgewood, Maspeth, & Middle Village",2020,7,2020-07-01,203346.0,534516.8,0.3804,0.0
4406,Forest Hills & Rego Park,2020,7,2020-07-01,351873.0,1446085.0,0.2433,0.0
4407,"Flushing, Murray Hill, & Whitestone",2020,7,2020-07-01,423817.0,1578505.8,0.2685,4.06
4409,"Kew Gardens, Richmond Hill, & Woodhaven",2020,7,2020-07-01,234629.0,702156.05,0.3342,0.0
4410,South Ozone Park & Howard Beach,2020,7,2020-07-01,233547.0,751754.6,0.3107,0.0
4412,"Jamaica, St. Albans, & Hollis",2020,7,2020-07-01,769020.0,2848975.4,0.2699,1.03
4414,The Rockaways,2020,7,2020-07-01,191838.0,627819.0,0.3056,0.34
4103,Lower East Side & Chinatown,2020,8,2020-08-01,696509.0,2778992.0,0.2506,2.14
