complex_id,station_name,year,month,period,ridership,baseline_ridership,baseline_comparison,omny_pct
119,1 Av,2020,7,2020-07-01,118965.0,564490.2,0.2107,0.0
156,103 St,2020,7,2020-07-01,28747.0,130101.6,0.221,9.24
309,103 St,2020,7,2020-07-01,68863.0,320591.0,0.2148,7.84
395,103 St,2020,7,2020-07-01,105711.0,305193.0,0.3464,7.51
450,103 St-Corona Plaza,2020,7,2020-07-01,213918.0,534677.6,0.4001,4.32
82,104 St,2020,7,2020-07-01,23449.0,48414.2,0.4843,0.0
193,104 St,2020,7,2020-07-01,15151.0,42083.2,0.36,0.0
394,110 St,2020,7,2020-07-01,80559.0,294743.4,0.2733,7.35
81,111 St,2020,7,2020-07-01,16959.0,66656.25,0.2544,0.0
194,111 St,2020,7,2020-07-01,20930.0,62654.6,0.3341,0.0
449,111 St,2020,7,2020-07-01,124238.0,308984.6,0.4021,4.73
154,116 St,2020,7,2020-07-01,45299.0,178083.4,0.2544,9.65
393,116 St,2020,7,2020-07-01,115218.0,380681.4,0.3027,7.49
440,116 St,2020,7,2020-07-01,71358.0,298573.4,0.239,7.94
307,116 St-Columbia University,2020,7,2020-07-01,37790.0,342870.8,0.1102,9.67
80,121 St,2020,7,2020-07-01,17608.0,49079.0,0.3588,0.0
153,125 St,2020,7,2020-07-01,217627.0,762662.2,0.2854,8.4
306,125 St,2020,7,2020-07-01,49203.0,197419.4,0.2492,9.62
392,125 St,2020,7,2020-07-01,196105.0,668839.6,0.2932,7.97
439,125 St,2020,7,2020-07-01,96388.0,325389.4,0.2962,7.7
152,135 St,2020,7,2020-07-01,32745.0,129164.2,0.2535,10.86
438,135 St,2020,7,2020-07-01,106203.0,388661.8,0.2733,7.28
305,137 St-City College,2020,7,2020-07-01,86461.0,325626.4,0.2655,9.41
391,138 St-Grand Concourse,2020,7,2020-07-01,15715.0,84602.2,0.1858,8.02
602,14 St-Union Sq,2020,7,2020-07-01,489236.0,2751638.0,0.1778,7.83
601,14 St/6 Av,2020,7,2020-07-01,222103.0,1111477.8,0.1998,7.72
618,14 St/8 Av,2020,7,2020-07-01,190160.0,1165297.8,0.1632,8.59
151,145 St,2020,7,2020-07-01,167748.0,607895.6,0.2759,9.51
304,145 St,2020,7,2020-07-01,76009.0,256792.2,0.296,8.93
437,145 St,2020,7,2020-07-01,22447.0,89173.25,0.2517,7.09
603,149 St-Grand Concourse,2020,7,2020-07-01,103929.0,311611.4,0.3335,7.8
241,15 St-Prospect Park,2020,7,2020-07-01,29791.0,156284.4,0.1906,0.0
150,155 St,2020,7,2020-07-01,18363.0,75109.2,0.2445,8.76
220,155 St,2020,7,2020-07-01,33199.0,99397.4,0.334,6.1
303,157 St,2020,7,2020-07-01,83515.0,281791.6,0.2964,8.43
604,161 St-Yankee Stadium,2020,7,2020-07-01,189085.0,754980.2,0.2505,7.93
149,163 St-Amsterdam Av,2020,7,2020-07-01,32673.0,115580.25,0.2827,8.82
218,167 St,2020,7,2020-07-01,89137.0,247143.25,0.3607,5.78
388,167 St,2020,7,2020-07-01,86630.0,243329.4,0.356,7.21
605,168 St-Washington Hts,2020,7,2020-07-01,187041.0,667359.75,0.2803,10.37
255,169 St,2020,7,2020-07-01,59742.0,204273.4,0.2925,0.0
217,170 St,2020,7,2020-07-01,59966.0,176085.4,0.3406,6.38
387,170 St,2020,7,2020-07-01,76508.0,230522.4,0.3319,7.38
428,174 St,2020,7,2020-07-01,55473.0,143323.8,0.387,8.33
216,174-175 Sts,2020,7,2020-07-01,48417.0,138321.75,0.35,5.86
147,175 St,2020,7,2020-07-01,87157.0,338393.8,0.2576,10.01
385,176 St,2020,7,2020-07-01,53075.0,155071.8,0.3423,7.27
66,18 Av,2020,7,2020-07-01,49210.0,163755.8,0.3005,0.0
74,18 Av,2020,7,2020-07-01,41668.0,98011.8,0.4251,0.0
245,18 Av,2020,7,2020-07-01,28180.0,105765.8,0.2664,0.0
321,18 St,2020,7,2020-07-01,29708.0,208049.4,0.1428,9.96
146,181 St,2020,7,2020-07-01,65519.0,272403.6,0.2405,10.07
301,181 St,2020,7,2020-07-01,112931.0,287740.0,0.3925,8.58
214,182-183 Sts,2020,7,2020-07-01,44740.0,109122.2,0.41,6.86
383,183 St,2020,7,2020-07-01,59427.0,159686.8,0.3721,7.42
145,190 St,2020,7,2020-07-01,29997.0,99636.2,0.3011,8.8
300,191 St,2020,7,2020-07-01,16034.0,199303.4,0.0805,7.28
232,2 Av,2020,7,2020-07-01,80535.0,448787.2,0.1795,0.0
67,20 Av,2020,7,2020-07-01,41167.0,133927.0,0.3074,0.0
75,20 Av,2020,7,2020-07-01,26732.0,73800.8,0.3622,0.0
298,207 St,2020,7,2020-07-01,51541.0,167500.4,0.3077,8.03
282,21 St,2020,7,2020-07-01,12043.0,48348.4,0.2491,0.0
221,21 St-Queensbridge,2020,7,2020-07-01,74929.0,261894.4,0.2861,0.0
297,215 St,2020,7,2020-07-01,12139.0,49625.2,0.2446,8.75
420,219 St,2020,7,2020-07-01,19886.0,81142.6,0.2451,6.12
419,225 St,2020,7,2020-07-01,23150.0,102475.0,0.2259,6.94
14,23 St,2020,7,2020-07-01,75113.0,614219.6,0.1223,7.39
165,23 St,2020,7,2020-07-01,105854.0,597599.6,0.1771,7.79
