puma,year,month,period,day_group,ridership,omny_pct
4103,2020,7,2020-07-01,total,610683.0,0.0
4103,2020,7,2020-07-01,weekday,501670.0,0.0
4103,2020,7,2020-07-01,weekend,109013.0,0.0
4104,2020,7,2020-07-01,total,779368.0,8.65
4104,2020,7,2020-07-01,weekday,651833.0,8.18
4104,2020,7,2020-07-01,weekend,127535.0,11.04
4107,2020,7,2020-07-01,total,1422444.0,8.49
4107,2020,7,2020-07-01,weekday,1187045.0,8.0
4107,2020,7,2020-07-01,weekend,235399.0,10.93
4108,2020,7,2020-07-01,total,1499394.0,6.39
4108,2020,7,2020-07-01,weekday,1308362.0,6.15
4108,2020,7,2020-07-01,weekend,191032.0,8.04
4109,2020,7,2020-07-01,total,685946.0,9.14
4109,2020,7,2020-07-01,weekday,555325.0,8.79
4109,2020,7,2020-07-01,weekend,130621.0,10.66
4110,2020,7,2020-07-01,total,500102.0,8.1
4110,2020,7,2020-07-01,weekday,412877.0,7.73
4110,2020,7,2020-07-01,weekend,87225.0,9.85
4111,2020,7,2020-07-01,total,619837.0,7.38
4111,2020,7,2020-07-01,weekday,515398.0,7.09
4111,2020,7,2020-07-01,weekend,104439.0,8.82
4112,2020,7,2020-07-01,total,915940.0,9.16
4112,2020,7,2020-07-01,weekday,757091.0,8.86
4112,2020,7,2020-07-01,weekend,158849.0,10.55
4121,2020,7,2020-07-01,total,2318456.0,8.62
4121,2020,7,2020-07-01,weekday,1968810.0,8.12
4121,2020,7,2020-07-01,weekend,349646.0,11.41
4165,2020,7,2020-07-01,total,5038176.0,7.44
4165,2020,7,2020-07-01,weekday,4344522.0,7.12
4165,2020,7,2020-07-01,weekend,693654.0,9.42
4204,2020,7,2020-07-01,total,553435.0,7.19
4204,2020,7,2020-07-01,weekday,456752.0,6.98
4204,2020,7,2020-07-01,weekend,96683.0,8.18
4205,2020,7,2020-07-01,total,485893.0,6.72
4205,2020,7,2020-07-01,weekday,401292.0,6.47
4205,2020,7,2020-07-01,weekend,84601.0,7.89
4207,2020,7,2020-07-01,total,538933.0,6.91
4207,2020,7,2020-07-01,weekday,445345.0,6.71
4207,2020,7,2020-07-01,weekend,93588.0,7.86
4208,2020,7,2020-07-01,total,215097.0,7.7
4208,2020,7,2020-07-01,weekday,181088.0,7.52
4208,2020,7,2020-07-01,weekend,34009.0,8.67
4209,2020,7,2020-07-01,total,298665.0,6.97
4209,2020,7,2020-07-01,weekday,247670.0,6.79
4209,2020,7,2020-07-01,weekend,50995.0,7.83
4210,2020,7,2020-07-01,total,237409.0,6.61
4210,2020,7,2020-07-01,weekday,198743.0,6.48
4210,2020,7,2020-07-01,weekend,38666.0,7.3
4211,2020,7,2020-07-01,total,180457.0,7.5
4211,2020,7,2020-07-01,weekday,165057.0,7.45
4211,2020,7,2020-07-01,weekend,15400.0,8.1
4212,2020,7,2020-07-01,total,280736.0,6.36
4212,2020,7,2020-07-01,weekday,264995.0,6.31
4212,2020,7,2020-07-01,weekend,15741.0,7.32
4221,2020,7,2020-07-01,total,871002.0,7.66
4221,2020,7,2020-07-01,weekday,727676.0,7.44
4221,2020,7,2020-07-01,weekend,143326.0,8.77
4263,2020,7,2020-07-01,total,246700.0,7.95
4263,2020,7,2020-07-01,weekday,198241.0,7.75
4263,2020,7,2020-07-01,weekend,48459.0,8.75
4301,2020,7,2020-07-01,total,730182.0,0.0
4301,2020,7,2020-07-01,weekday,599070.0,0.0
4301,2020,7,2020-07-01,weekend,131112.0,0.0
4302,2020,7,2020-07-01,total,960488.0,5.23
4302,2020,7,2020-07-01,weekday,800084.0,4.9
4302,2020,7,2020-07-01,weekend,160404.0,6.87
4303,2020,7,2020-07-01,total,541881.0,3.97
4303,2020,7,2020-07-01,weekday,443674.0,3.72
4303,2020,7,2020-07-01,weekend,98207.0,5.08
4304,2020,7,2020-07-01,total,556097.0,0.0
4304,2020,7,2020-07-01,weekday,454842.0,0.0
4304,2020,7,2020-07-01,weekend,101255.0,0.0
4305,2020,7,2020-07-01,total,537838.0,2.31
4305,2020,7,2020-07-01,weekday,445818.0,2.25
4305,2020,7,2020-07-01,weekend,92020.0,2.62
4306,2020,7,2020-07-01,total,578911.0,3.5
4306,2020,7,2020-07-01,weekday,474379.0,3.33
4306,2020,7,2020-07-01,weekend,104532.0,4.24
4307,2020,7,2020-07-01,total,545378.0,0.0
4307,2020,7,2020-07-01,weekday,450777.0,0.0
4307,2020,7,2020-07-01,weekend,94601.0,0.0
4308,2020,7,2020-07-01,total,51628.0,0.99
4308,2020,7,2020-07-01,weekday,42348.0,0.97
4308,2020,7,2020-07-01,weekend,9280.0,1.08
4309,2020,7,2020-07-01,total,618006.0,3.55
4309,2020,7,2020-07-01,weekday,508848.0,3.45
4309,2020,7,2020-07-01,weekend,109158.0,4.01
4310,2020,7,2020-07-01,total,220633.0,2.26
4310,2020,7,2020-07-01,weekday,184813.0,2.24
4310,2020,7,2020-07-01,weekend,35820.0,2.37
4311,2020,7,2020-07-01,total,511847.0,0.0
4311,2020,7,2020-07-01,weekday,422685.0,0.0
4311,2020,7,2020-07-01,weekend,89162.0,0.0
4312,2020,7,2020-07-01,total,359476.0,0.0
4312,2020,7,2020-07-01,weekday,314930.0,0.0
4312,2020,7,2020-07-01,weekend,44546.0,0.0
4313,2020,7,2020-07-01,total,387412.0,0.0
4313,2020,7,2020-07-01,weekday,298124.0,0.0
4313,2020,7,2020-07-01,weekend,89288.0,0.0
4314,2020,7,2020-07-01,total,556921.0,0.92
4314,2020,7,2020-07-01,weekday,463009.0,0.88
4314,2020,7,2020-07-01,weekend,93912.0,1.14
4315,2020,7,2020-07-01,total,406187.0,0.0
4315,2020,7,2020-07-01,weekday,346381.0,0.0
4315,2020,7,2020-07-01,weekend,59806.0,0.0
4316,2020,7,2020-07-01,total,482733.0,3.37
4316,2020,7,2020-07-01,weekday,399045.0,3.16
4316,2020,7,2020-07-01,weekend,83688.0,4.36
4317,2020,7,2020-07-01,total,175141.0,3.87
4317,2020,7,2020-07-01,weekday,147107.0,3.65
4317,2020,7,2020-07-01,weekend,28034.0,5.02
4318,2020,7,2020-07-01,total,75616.0,0.0
4318,2020,7,2020-07-01,weekday,64147.0,0.0
4318,2020,7,2020-07-01,weekend,11469.0,0.0
4401,2020,7,2020-07-01,total,699222.0,4.4
4401,2020,7,2020-07-01,weekday,586424.0,4.25
4401,2020,7,2020-07-01,weekend,112798.0,5.21
4402,2020,7,2020-07-01,total,852659.0,6.35
4402,2020,7,2020-07-01,weekday,722110.0,6.11
4402,2020,7,2020-07-01,weekend,130549.0,7.67
4403,2020,7,2020-07-01,total,422302.0,4.79
4403,2020,7,2020-07-01,weekday,355465.0,4.74
4403,2020,7,2020-07-01,weekend,66837.0,5.09
4404,2020,7,2020-07-01,total,1492478.0,3.14
4404,2020,7,2020-07-01,weekday,1237969.0,3.01
4404,2020,7,2020-07-01,weekend,254509.0,3.77
4405,2020,7,2020-07-01,total,203346.0,0.0
4405,2020,7,2020-07-01,weekday,175945.0,0.0
4405,2020,7,2020-07-01,weekend,27401.0,0.0
4406,2020,7,2020-07-01,total,351873.0,0.0
4406,2020,7,2020-07-01,weekday,302583.0,0.0
4406,2020,7,2020-07-01,weekend,49290.0,0.0
4407,2020,7,2020-07-01,total,423817.0,4.06
4407,2020,7,2020-07-01,weekday,352772.0,3.99
4407,2020,7,2020-07-01,weekend,71045.0,4.45
4409,2020,7,2020-07-01,total,234629.0,0.0
4409,2020,7,2020-07-01,weekday,199670.0,0.0
4409,2020,7,2020-07-01,weekend,34959.0,0.0
4410,2020,7,2020-07-01,total,233547.0,0.0
4410,2020,7,2020-07-01,weekday,200471.0,0.0
4410,2020,7,2020-07-01,weekend,33076.0,0.0
4412,2020,7,2020-07-01,total,769020.0,1.03
4412,2020,7,2020-07-01,weekday,657817.0,1.0
4412,2020,7,2020-07-01,weekend,111203.0,1.23
4414,2020,7,2020-07-01,total,191838.0,0.34
4414,2020,7,2020-07-01,weekday,142708.0,0.36
4414,2020,7,2020-07-01,weekend,49130.0,0.28
4103,2020,8,2020-08-01,total,696509.0,2.14
4103,2020,8,2020-08-01,weekday,527168.0,1.92
4103,2020,8,2020-08-01,weekend,169341.0,2.84
4104,2020,8,2020-08-01,total,894905.0,10.48
4104,2020,8,2020-08-01,weekday,696584.0,9.7
4104,2020,8,2020-08-01,weekend,198321.0,13.24
4107,2020,8,2020-08-01,total,1603786.0,10.13
4107,2020,8,2020-08-01,weekday,1254699.0,9.35
4107,2020,8,2020-08-01,weekend,349087.0,12.96
4108,2020,8,2020-08-01,total,1630925.0,7.74
4108,2020,8,2020-08-01,weekday,1351837.0,7.35
4108,2020,8,2020-08-01,weekend,279088.0,9.66
4109,2020,8,2020-08-01,total,749508.0,10.58
4109,2020,8,2020-08-01,weekday,566622.0,10.06
4109,2020,8,2020-08-01,weekend,182886.0,12.19
4110,2020,8,2020-08-01,total,533800.0,9.41
4110,2020,8,2020-08-01,weekday,410634.0,8.84
4110,2020,8,2020-08-01,weekend,123166.0,11.31
4111,2020,8,2020-08-01,total,642213.0,8.05
