complex_id,year,month,period,day_group,ridership,omny_pct
1,2020,7,2020-07-01,total,103188.0,6.02
1,2020,7,2020-07-01,weekday,86321.0,5.8
1,2020,7,2020-07-01,weekend,16867.0,7.13
2,2020,7,2020-07-01,total,57146.0,7.18
2,2020,7,2020-07-01,weekday,47485.0,6.89
2,2020,7,2020-07-01,weekend,9661.0,8.6
3,2020,7,2020-07-01,total,94207.0,6.88
3,2020,7,2020-07-01,weekday,78797.0,6.64
3,2020,7,2020-07-01,weekend,15410.0,8.11
4,2020,7,2020-07-01,total,73796.0,7.58
4,2020,7,2020-07-01,weekday,60473.0,7.28
4,2020,7,2020-07-01,weekend,13323.0,8.94
5,2020,7,2020-07-01,total,44316.0,7.0
5,2020,7,2020-07-01,weekday,36761.0,6.84
5,2020,7,2020-07-01,weekend,7555.0,7.81
6,2020,7,2020-07-01,total,18309.0,6.78
6,2020,7,2020-07-01,weekday,15774.0,6.76
6,2020,7,2020-07-01,weekend,2535.0,6.86
8,2020,7,2020-07-01,total,82338.0,7.03
8,2020,7,2020-07-01,weekday,69755.0,6.79
8,2020,7,2020-07-01,weekend,12583.0,8.34
9,2020,7,2020-07-01,total,138804.0,1.92
9,2020,7,2020-07-01,weekday,118595.0,1.93
9,2020,7,2020-07-01,weekend,20209.0,1.86
10,2020,7,2020-07-01,total,65338.0,7.76
10,2020,7,2020-07-01,weekday,55815.0,7.3
10,2020,7,2020-07-01,weekend,9523.0,10.48
13,2020,7,2020-07-01,total,44798.0,6.74
13,2020,7,2020-07-01,weekday,39030.0,6.38
13,2020,7,2020-07-01,weekend,5768.0,9.15
14,2020,7,2020-07-01,total,75113.0,7.39
14,2020,7,2020-07-01,weekday,63063.0,6.9
14,2020,7,2020-07-01,weekend,12050.0,9.95
16,2020,7,2020-07-01,total,49806.0,9.29
16,2020,7,2020-07-01,weekday,39822.0,8.98
16,2020,7,2020-07-01,weekend,9984.0,10.55
17,2020,7,2020-07-01,total,46569.0,10.32
17,2020,7,2020-07-01,weekday,36390.0,9.97
17,2020,7,2020-07-01,weekend,10179.0,11.58
20,2020,7,2020-07-01,total,21715.0,5.8
20,2020,7,2020-07-01,weekday,19290.0,5.55
20,2020,7,2020-07-01,weekend,2425.0,7.84
22,2020,7,2020-07-01,total,22425.0,8.07
22,2020,7,2020-07-01,weekday,20026.0,7.65
22,2020,7,2020-07-01,weekend,2399.0,11.59
26,2020,7,2020-07-01,total,120307.0,0.0
26,2020,7,2020-07-01,weekday,98946.0,0.0
26,2020,7,2020-07-01,weekend,21361.0,0.0
28,2020,7,2020-07-01,total,35509.0,0.0
28,2020,7,2020-07-01,weekday,29131.0,0.0
28,2020,7,2020-07-01,weekend,6378.0,0.0
30,2020,7,2020-07-01,total,32738.0,0.0
30,2020,7,2020-07-01,weekday,27311.0,0.0
30,2020,7,2020-07-01,weekend,5427.0,0.0
31,2020,7,2020-07-01,total,29011.0,0.0
31,2020,7,2020-07-01,weekday,24111.0,0.0
31,2020,7,2020-07-01,weekend,4900.0,0.0
32,2020,7,2020-07-01,total,112059.0,0.0
32,2020,7,2020-07-01,weekday,92579.0,0.0
32,2020,7,2020-07-01,weekend,19480.0,0.0
33,2020,7,2020-07-01,total,63091.0,0.0
33,2020,7,2020-07-01,weekday,51327.0,0.0
33,2020,7,2020-07-01,weekend,11764.0,0.0
34,2020,7,2020-07-01,total,82297.0,0.0
34,2020,7,2020-07-01,weekday,68180.0,0.0
34,2020,7,2020-07-01,weekend,14117.0,0.0
35,2020,7,2020-07-01,total,98018.0,0.0
35,2020,7,2020-07-01,weekday,82561.0,0.0
35,2020,7,2020-07-01,weekend,15457.0,0.0
36,2020,7,2020-07-01,total,54718.0,0.0
36,2020,7,2020-07-01,weekday,45013.0,0.0
36,2020,7,2020-07-01,weekend,9705.0,0.0
37,2020,7,2020-07-01,total,37406.0,0.0
37,2020,7,2020-07-01,weekday,31726.0,0.0
37,2020,7,2020-07-01,weekend,5680.0,0.0
38,2020,7,2020-07-01,total,86255.0,5.79
38,2020,7,2020-07-01,weekday,72142.0,5.75
38,2020,7,2020-07-01,weekend,14113.0,6.01
39,2020,7,2020-07-01,total,42254.0,0.0
39,2020,7,2020-07-01,weekday,35932.0,0.0
39,2020,7,2020-07-01,weekend,6322.0,0.0
41,2020,7,2020-07-01,total,40551.0,0.0
41,2020,7,2020-07-01,weekday,33286.0,0.0
41,2020,7,2020-07-01,weekend,7265.0,0.0
42,2020,7,2020-07-01,total,70624.0,5.74
42,2020,7,2020-07-01,weekday,56266.0,5.43
42,2020,7,2020-07-01,weekend,14358.0,6.94
43,2020,7,2020-07-01,total,52833.0,0.0
43,2020,7,2020-07-01,weekday,41839.0,0.0
43,2020,7,2020-07-01,weekend,10994.0,0.0
44,2020,7,2020-07-01,total,133000.0,0.0
44,2020,7,2020-07-01,weekday,109718.0,0.0
44,2020,7,2020-07-01,weekend,23282.0,0.0
45,2020,7,2020-07-01,total,26014.0,0.0
45,2020,7,2020-07-01,weekday,21011.0,0.0
45,2020,7,2020-07-01,weekend,5003.0,0.0
46,2020,7,2020-07-01,total,47420.0,0.0
46,2020,7,2020-07-01,weekday,38070.0,0.0
46,2020,7,2020-07-01,weekend,9350.0,0.0
47,2020,7,2020-07-01,total,78151.0,0.0
47,2020,7,2020-07-01,weekday,63671.0,0.0
47,2020,7,2020-07-01,weekend,14480.0,0.0
48,2020,7,2020-07-01,total,20840.0,0.0
48,2020,7,2020-07-01,weekday,16879.0,0.0
48,2020,7,2020-07-01,weekend,3961.0,0.0
49,2020,7,2020-07-01,total,43528.0,0.0
49,2020,7,2020-07-01,weekday,35606.0,0.0
49,2020,7,2020-07-01,weekend,7922.0,0.0
50,2020,7,2020-07-01,total,41695.0,0.0
50,2020,7,2020-07-01,weekday,34476.0,0.0
50,2020,7,2020-07-01,weekend,7219.0,0.0
51,2020,7,2020-07-01,total,151157.0,0.0
51,2020,7,2020-07-01,weekday,127307.0,0.0
51,2020,7,2020-07-01,weekend,23850.0,0.0
52,2020,7,2020-07-01,total,56878.0,0.0
52,2020,7,2020-07-01,weekday,46999.0,0.0
52,2020,7,2020-07-01,weekend,9879.0,0.0
53,2020,7,2020-07-01,total,33061.0,0.0
53,2020,7,2020-07-01,weekday,27878.0,0.0
53,2020,7,2020-07-01,weekend,5183.0,0.0
54,2020,7,2020-07-01,total,104196.0,0.0
54,2020,7,2020-07-01,weekday,88773.0,0.0
54,2020,7,2020-07-01,weekend,15423.0,0.0
55,2020,7,2020-07-01,total,123682.0,0.0
55,2020,7,2020-07-01,weekday,93686.0,0.0
55,2020,7,2020-07-01,weekend,29996.0,0.0
56,2020,7,2020-07-01,total,33574.0,0.0
56,2020,7,2020-07-01,weekday,25334.0,0.0
56,2020,7,2020-07-01,weekend,8240.0,0.0
57,2020,7,2020-07-01,total,23027.0,0.0
57,2020,7,2020-07-01,weekday,18550.0,0.0
57,2020,7,2020-07-01,weekend,4477.0,0.0
58,2020,7,2020-07-01,total,158251.0,0.0
58,2020,7,2020-07-01,weekday,114716.0,0.0
58,2020,7,2020-07-01,weekend,43535.0,0.0
59,2020,7,2020-07-01,total,49972.0,0.0
59,2020,7,2020-07-01,weekday,42380.0,0.0
59,2020,7,2020-07-01,weekend,7592.0,0.0
60,2020,7,2020-07-01,total,37073.0,0.0
60,2020,7,2020-07-01,weekday,31803.0,0.0
60,2020,7,2020-07-01,weekend,5270.0,0.0
61,2020,7,2020-07-01,total,32969.0,0.0
61,2020,7,2020-07-01,weekday,28726.0,0.0
61,2020,7,2020-07-01,weekend,4243.0,0.0
62,2020,7,2020-07-01,total,19734.0,0.0
62,2020,7,2020-07-01,weekday,17192.0,0.0
62,2020,7,2020-07-01,weekend,2542.0,0.0
64,2020,7,2020-07-01,total,42132.0,0.0
64,2020,7,2020-07-01,weekday,35946.0,0.0
64,2020,7,2020-07-01,weekend,6186.0,0.0
65,2020,7,2020-07-01,total,44496.0,0.0
65,2020,7,2020-07-01,weekday,37974.0,0.0
65,2020,7,2020-07-01,weekend,6522.0,0.0
66,2020,7,2020-07-01,total,49210.0,0.0
66,2020,7,2020-07-01,weekday,42200.0,0.0
66,2020,7,2020-07-01,weekend,7010.0,0.0
67,2020,7,2020-07-01,total,41167.0,0.0
67,2020,7,2020-07-01,weekday,34686.0,0.0
67,2020,7,2020-07-01,weekend,6481.0,0.0
68,2020,7,2020-07-01,total,62833.0,0.0
68,2020,7,2020-07-01,weekday,52724.0,0.0
68,2020,7,2020-07-01,weekend,10109.0,0.0
69,2020,7,2020-07-01,total,32531.0,0.0
69,2020,7,2020-07-01,weekday,27570.0,0.0
69,2020,7,2020-07-01,weekend,4961.0,0.0
70,2020,7,2020-07-01,total,19073.0,0.0
70,2020,7,2020-07-01,weekday,16066.0,0.0
70,2020,7,2020-07-01,weekend,3007.0,0.0
71,2020,7,2020-07-01,total,72069.0,0.0
71,2020,7,2020-07-01,weekday,58803.0,0.0
71,2020,7,2020-07-01,weekend,13266.0,0.0
72,2020,7,2020-07-01,total,43341.0,0.0
72,2020,7,2020-07-01,weekday,36075.0,0.0
72,2020,7,2020-07-01,weekend,7266.0,0.0
74,2020,7,2020-07-01,total,41668.0,0.0
74,2020,7,2020-07-01,weekday,33437.0,0.0
74,2020,7,2020-07-01,weekend,8231.0,0.0
75,2020,7,2020-07-01,total,26732.0,0.0
75,2020,7,2020-07-01,weekday,22369.0,0.0
75,2020,7,2020-07-01,weekend,4363.0,0.0
76,2020,7,2020-07-01,total,57875.0,0.0
76,2020,7,2020-07-01,weekday,45279.0,0.0
76,2020,7,2020-07-01,weekend,12596.0,0.0
77,2020,7,2020-07-01,total,42240.0,0.0
77,2020,7,2020-07-01,weekday,33124.0,0.0
77,2020,7,2020-07-01,weekend,9116.0,0.0
78,2020,7,2020-07-01,total,29244.0,0.0
78,2020,7,2020-07-01,weekday,23351.0,0.0
78,2020,7,2020-07-01,weekend,5893.0,0.0
79,2020,7,2020-07-01,total,22004.0,0.0
79,2020,7,2020-07-01,weekday,16630.0,0.0
79,2020,7,2020-07-01,weekend,5374.0,0.0
80,2020,7,2020-07-01,total,17608.0,0.0
80,2020,7,2020-07-01,weekday,14837.0,0.0
80,2020,7,2020-07-01,weekend,2771.0,0.0
81,2020,7,2020-07-01,total,16959.0,0.0
81,2020,7,2020-07-01,weekday,14345.0,0.0
81,2020,7,2020-07-01,weekend,2614.0,0.0
82,2020,7,2020-07-01,total,23449.0,0.0
82,2020,7,2020-07-01,weekday,19946.0,0.0
82,2020,7,2020-07-01,weekend,3503.0,0.0
83,2020,7,2020-07-01,total,38087.0,0.0
83,2020,7,2020-07-01,weekday,31489.0,0.0
83,2020,7,2020-07-01,weekend,6598.0,0.0
84,2020,7,2020-07-01,total,34003.0,0.0
84,2020,7,2020-07-01,weekday,28747.0,0.0
84,2020,7,2020-07-01,weekend,5256.0,0.0
85,2020,7,2020-07-01,total,31583.0,0.0
85,2020,7,2020-07-01,weekday,26719.0,0.0
85,2020,7,2020-07-01,weekend,4864.0,0.0
86,2020,7,2020-07-01,total,12917.0,0.0
86,2020,7,2020-07-01,weekday,10728.0,0.0
86,2020,7,2020-07-01,weekend,2189.0,0.0
87,2020,7,2020-07-01,total,38535.0,0.0
87,2020,7,2020-07-01,weekday,31775.0,0.0
87,2020,7,2020-07-01,weekend,6760.0,0.0
88,2020,7,2020-07-01,total,27253.0,0.0
88,2020,7,2020-07-01,weekday,22684.0,0.0
88,2020,7,2020-07-01,weekend,4569.0,0.0
89,2020,7,2020-07-01,total,25619.0,0.0
89,2020,7,2020-07-01,weekday,21136.0,0.0
89,2020,7,2020-07-01,weekend,4483.0,0.0
90,2020,7,2020-07-01,total,25993.0,0.0
90,2020,7,2020-07-01,weekday,21644.0,0.0
90,2020,7,2020-07-01,weekend,4349.0,0.0
91,2020,7,2020-07-01,total,21037.0,0.0
91,2020,7,2020-07-01,weekday,17718.0,0.0
91,2020,7,2020-07-01,weekend,3319.0,0.0
93,2020,7,2020-07-01,total,30194.0,0.0
93,2020,7,2020-07-01,weekday,25546.0,0.0
93,2020,7,2020-07-01,weekend,4648.0,0.0
94,2020,7,2020-07-01,total,46115.0,0.0
94,2020,7,2020-07-01,weekday,37626.0,0.0
94,2020,7,2020-07-01,weekend,8489.0,0.0
95,2020,7,2020-07-01,total,51392.0,0.0
95,2020,7,2020-07-01,weekday,42249.0,0.0
95,2020,7,2020-07-01,weekend,9143.0,0.0
96,2020,7,2020-07-01,total,37255.0,0.0
96,2020,7,2020-07-01,weekday,30234.0,0.0
96,2020,7,2020-07-01,weekend,7021.0,0.0
97,2020,7,2020-07-01,total,76613.0,0.0
97,2020,7,2020-07-01,weekday,63962.0,0.0
97,2020,7,2020-07-01,weekend,12651.0,0.0
98,2020,7,2020-07-01,total,71558.0,0.0
98,2020,7,2020-07-01,weekday,61323.0,0.0
98,2020,7,2020-07-01,weekend,10235.0,0.0
99,2020,7,2020-07-01,total,33381.0,0.0
99,2020,7,2020-07-01,weekday,28855.0,0.0
99,2020,7,2020-07-01,weekend,4526.0,0.0
100,2020,7,2020-07-01,total,24482.0,0.0
100,2020,7,2020-07-01,weekday,19108.0,0.0
100,2020,7,2020-07-01,weekend,5374.0,0.0
101,2020,7,2020-07-01,total,77086.0,0.0
101,2020,7,2020-07-01,weekday,70641.0,0.0
101,2020,7,2020-07-01,weekend,6445.0,0.0
103,2020,7,2020-07-01,total,18227.0,0.0
103,2020,7,2020-07-01,weekday,16164.0,0.0
103,2020,7,2020-07-01,weekend,2063.0,0.0
107,2020,7,2020-07-01,total,28792.0,0.0
107,2020,7,2020-07-01,weekday,27404.0,0.0
107,2020,7,2020-07-01,weekend,1388.0,0.0
108,2020,7,2020-07-01,total,29628.0,0.0
108,2020,7,2020-07-01,weekday,25933.0,0.0
108,2020,7,2020-07-01,weekend,3695.0,0.0
109,2020,7,2020-07-01,total,52195.0,0.0
109,2020,7,2020-07-01,weekday,45793.0,0.0
109,2020,7,2020-07-01,weekend,6402.0,0.0
110,2020,7,2020-07-01,total,35062.0,0.0
110,2020,7,2020-07-01,weekday,31015.0,0.0
110,2020,7,2020-07-01,weekend,4047.0,0.0
111,2020,7,2020-07-01,total,25335.0,0.0
111,2020,7,2020-07-01,weekday,22454.0,0.0
111,2020,7,2020-07-01,weekend,2881.0,0.0
113,2020,7,2020-07-01,total,32484.0,0.0
113,2020,7,2020-07-01,weekday,27800.0,0.0
113,2020,7,2020-07-01,weekend,4684.0,0.0
114,2020,7,2020-07-01,total,27180.0,0.0
114,2020,7,2020-07-01,weekday,23693.0,0.0
114,2020,7,2020-07-01,weekend,3487.0,0.0
118,2020,7,2020-07-01,total,37658.0,0.0
118,2020,7,2020-07-01,weekday,31444.0,0.0
118,2020,7,2020-07-01,weekend,6214.0,0.0
119,2020,7,2020-07-01,total,118965.0,0.0
119,2020,7,2020-07-01,weekday,97469.0,0.0
119,2020,7,2020-07-01,weekend,21496.0,0.0
120,2020,7,2020-07-01,total,133774.0,0.0
120,2020,7,2020-07-01,weekday,102869.0,0.0
120,2020,7,2020-07-01,weekend,30905.0,0.0
122,2020,7,2020-07-01,total,50385.0,0.0
122,2020,7,2020-07-01,weekday,41744.0,0.0
122,2020,7,2020-07-01,weekend,8641.0,0.0
123,2020,7,2020-07-01,total,46607.0,0.0
123,2020,7,2020-07-01,weekday,39803.0,0.0
123,2020,7,2020-07-01,weekend,6804.0,0.0
124,2020,7,2020-07-01,total,45152.0,0.0
124,2020,7,2020-07-01,weekday,36028.0,0.0
124,2020,7,2020-07-01,weekend,9124.0,0.0
125,2020,7,2020-07-01,total,47866.0,0.0
125,2020,7,2020-07-01,weekday,38178.0,0.0
125,2020,7,2020-07-01,weekend,9688.0,0.0
126,2020,7,2020-07-01,total,50659.0,0.0
126,2020,7,2020-07-01,weekday,41344.0,0.0
126,2020,7,2020-07-01,weekend,9315.0,0.0
127,2020,7,2020-07-01,total,93417.0,0.0
127,2020,7,2020-07-01,weekday,76669.0,0.0
127,2020,7,2020-07-01,weekend,16748.0,0.0
129,2020,7,2020-07-01,total,61126.0,0.0
129,2020,7,2020-07-01,weekday,50750.0,0.0
129,2020,7,2020-07-01,weekend,10376.0,0.0
130,2020,7,2020-07-01,total,33516.0,0.0
130,2020,7,2020-07-01,weekday,26772.0,0.0
130,2020,7,2020-07-01,weekend,6744.0,0.0
131,2020,7,2020-07-01,total,18046.0,0.0
131,2020,7,2020-07-01,weekday,14449.0,0.0
131,2020,7,2020-07-01,weekend,3597.0,0.0
133,2020,7,2020-07-01,total,13257.0,0.0
133,2020,7,2020-07-01,weekday,11206.0,0.0
133,2020,7,2020-07-01,weekend,2051.0,0.0
134,2020,7,2020-07-01,total,29243.0,0.0
134,2020,7,2020-07-01,weekday,23997.0,0.0
134,2020,7,2020-07-01,weekend,5246.0,0.0
135,2020,7,2020-07-01,total,28300.0,0.0
135,2020,7,2020-07-01,weekday,23408.0,0.0
135,2020,7,2020-07-01,weekend,4892.0,0.0
136,2020,7,2020-07-01,total,37898.0,0.0
136,2020,7,2020-07-01,weekday,32219.0,0.0
136,2020,7,2020-07-01,weekend,5679.0,0.0
137,2020,7,2020-07-01,total,29623.0,0.0
137,2020,7,2020-07-01,weekday,25229.0,0.0
137,2020,7,2020-07-01,weekend,4394.0,0.0
138,2020,7,2020-07-01,total,75616.0,0.0
138,2020,7,2020-07-01,weekday,64147.0,0.0
138,2020,7,2020-07-01,weekend,11469.0,0.0
141,2020,7,2020-07-01,total,11077.0,4.61
141,2020,7,2020-07-01,weekday,9062.0,4.54
141,2020,7,2020-07-01,weekend,2015.0,4.96
143,2020,7,2020-07-01,total,72577.0,7.88
143,2020,7,2020-07-01,weekday,58124.0,7.56
143,2020,7,2020-07-01,weekend,14453.0,9.17
144,2020,7,2020-07-01,total,51248.0,9.82
144,2020,7,2020-07-01,weekday,41853.0,9.46
144,2020,7,2020-07-01,weekend,9395.0,11.39
145,2020,7,2020-07-01,total,29997.0,8.8
145,2020,7,2020-07-01,weekday,24498.0,8.16
145,2020,7,2020-07-01,weekend,5499.0,11.66
146,2020,7,2020-07-01,total,65519.0,10.07
146,2020,7,2020-07-01,weekday,54309.0,9.89
146,2020,7,2020-07-01,weekend,11210.0,10.92
147,2020,7,2020-07-01,total,87157.0,10.01
147,2020,7,2020-07-01,weekday,72027.0,9.58
147,2020,7,2020-07-01,weekend,15130.0,12.05
149,2020,7,2020-07-01,total,32673.0,8.82
149,2020,7,2020-07-01,weekday,27267.0,8.53
149,2020,7,2020-07-01,weekend,5406.0,10.28
150,2020,7,2020-07-01,total,18363.0,8.76
150,2020,7,2020-07-01,weekday,15155.0,8.28
150,2020,7,2020-07-01,weekend,3208.0,11.0
151,2020,7,2020-07-01,total,167748.0,9.51
151,2020,7,2020-07-01,weekday,132912.0,9.21
151,2020,7,2020-07-01,weekend,34836.0,10.67
152,2020,7,2020-07-01,total,32745.0,10.86
152,2020,7,2020-07-01,weekday,28194.0,10.46
