year,month,period,day_group,ridership,omny_pct
2020,7,2020-07-01,total,32469779.0,5.27
2020,7,2020-07-01,weekday,27283807.0,5.07
2020,7,2020-07-01,weekend,5185972.0,6.32
2020,8,2020-08-01,total,35126185.0,6.67
2020,8,2020-08-01,weekday,27776599.0,6.34
2020,8,2020-08-01,weekend,7349586.0,7.93
2020,9,2020-09-01,total,42746715.0,7.08
2020,9,2020-09-01,weekday,35162650.0,6.71
2020,9,2020-09-01,weekend,7584065.0,8.76
2020,10,2020-10-01,total,48110815.0,8.16
2020,10,2020-10-01,weekday,38741559.0,7.63
2020,10,2020-10-01,weekend,9369256.0,10.36
2020,11,2020-11-01,total,43776425.0,9.45
2020,11,2020-11-01,weekday,34953368.0,8.86
2020,11,2020-11-01,weekend,8823057.0,11.78
2020,12,2020-12-01,total,43832969.0,10.66
2020,12,2020-12-01,weekday,36374863.0,10.2
2020,12,2020-12-01,weekend,7458106.0,12.91
2021,1,2021-01-01,total,41323232.0,12.18
2021,1,2021-01-01,weekday,32717197.0,11.47
2021,1,2021-01-01,weekend,8606035.0,14.89
2021,2,2021-02-01,total,39357932.0,14.1
2021,2,2021-02-01,weekday,31766048.0,13.33
2021,2,2021-02-01,weekend,7591884.0,17.34
2021,3,2021-03-01,total,50977692.0,15.18
2021,3,2021-03-01,weekday,42239896.0,14.4
2021,3,2021-03-01,weekend,8737796.0,18.91
2021,4,2021-04-01,total,53398624.0,16.81
2021,4,2021-04-01,weekday,43851080.0,15.97
2021,4,2021-04-01,weekend,9547544.0,20.65
2021,5,2021-05-01,total,58559313.0,18.77
2021,5,2021-05-01,weekday,45188231.0,17.61
2021,5,2021-05-01,weekend,13371082.0,22.68
2021,6,2021-06-01,total,65567404.0,20.57
2021,6,2021-06-01,weekday,52726428.0,19.5
2021,6,2021-06-01,weekend,12840976.0,24.95
2021,7,2021-07-01,total,67028849.0,22.33
2021,7,2021-07-01,weekday,52755147.0,21.3
2021,7,2021-07-01,weekend,14273702.0,26.16
2021,8,2021-08-01,total,66494230.0,23.13
2021,8,2021-08-01,weekday,53413855.0,22.17
2021,8,2021-08-01,weekend,13080375.0,27.05
2021,9,2021-09-01,total,73991545.0,23.68
2021,9,2021-09-01,weekday,59956251.0,22.4
2021,9,2021-09-01,weekend,14035294.0,29.15
2021,10,2021-10-01,total,83580455.0,24.29
2021,10,2021-10-01,weekday,65325625.0,22.55
2021,10,2021-10-01,weekend,18254830.0,30.52
2021,11,2021-11-01,total,82478579.0,25.29
2021,11,2021-11-01,weekday,67428832.0,23.96
2021,11,2021-11-01,weekend,15049747.0,31.29
2021,12,2021-12-01,total,78747960.0,25.15
2021,12,2021-12-01,weekday,65102763.0,24.01
2021,12,2021-12-01,weekend,13645197.0,30.63
2022,1,2022-01-01,total,63848203.0,25.73
2022,1,2022-01-01,weekday,51332516.0,24.08
2022,1,2022-01-01,weekend,12515687.0,32.47
